পর্ব ১: সমান্তর ধারা (Arithmetic Progression - AP) বেসিক
১. সমান্তর ধারার n-তম পদের সূত্র কোনটি? ক. a + (n-1)d খ. a + nd গ. a + (n+1)d ঘ. arⁿ⁻¹ | উত্তর: ক | ব্যাখ্যা: সমান্তর ধারায় যেকোনো পদ নির্ণয়ের মূল সূত্র a + (n-1)d, যেখানে a=প্রথম পদ, d=সাধারণ অন্তর।
১৬২. ১³ + ২³ + ৩³ + ... + ১০³ = কত? ক. ২৫০০ খ. ৩০২৫ গ. ৩৫০০ ঘ. ৪০২৫ | উত্তর: খ | ব্যাখ্যা: ঘনের সমষ্টি = [n(n+1)/2]² = [১০×১১/২]² = ৫৫² = ৩০২৫।


১৬৩. প্রথম n স্বাভাবিক সংখ্যার বর্গের সমষ্টির সূত্র কোনটি? ক. n(n+1)/2 খ. [n(n+1)/2]² গ. n(n+1)(2n+1)/6 ঘ. n²(n+1)²/4 | উত্তর: গ | ব্যাখ্যা: বর্গের সমষ্টির নির্দিষ্ট সূত্র এটি।


১৬৪. প্রথম n স্বাভাবিক সংখ্যার ঘনের সমষ্টির সূত্র কোনটি? ক. n(n+1)/2 খ. [n(n+1)/2]² গ. n(n+1)(2n+1)/6 ঘ. n(n+1) | উত্তর: খ | ব্যাখ্যা: ঘনের সমষ্টির সূত্র।


১৬৫. ১² + ২² + ... + n² = n(n+1)(2n+1)/6 হলে, ২² + ৪² + ৬² + ... + ২০² = কত? ক. ১৫৪০ খ. ৩৪৮০ গ. ৩৮৫০ ঘ. ৪০৪০ | উত্তর: ক | ব্যাখ্যা: ২² কমন নিলে: ৪(১² + ২² + ... + ১০²) = ৪ × ৩৮৫ = ১৫৪০।


১৬৬. a এবং b এর গাণিতিক মধ্যক (Arithmetic Mean) কত? ক. a+b খ. (a+b)/2 গ. √ab ঘ. 2ab/(a+b) | উত্তর: খ | ব্যাখ্যা: গাণিতিক গড়ই হলো গাণিতিক মধ্যক।


১৬৭. a এবং b এর গুণোত্তর মধ্যক (Geometric Mean) কত? ক. a+b খ. (a+b)/2 গ. √ab ঘ. 2ab/(a+b) | উত্তর: গ | ব্যাখ্যা: গুণোত্তর মধ্যকের সূত্র।


১৬৮. ৪ এবং ১৬ এর গাণিতিক ও গুণোত্তর মধ্যক যথাক্রমে কত? ক. ১০, ৮ খ. ৮, ১০ গ. ২০, ৬৪ ঘ. ১২, ৮ | উত্তর: ক | ব্যাখ্যা: AM = (৪+১৬)/২ = ১০। GM = √(৪×১৬) = ৮।


১৬৯. গাণিতিক মধ্যক (AM) এবং গুণোত্তর মধ্যক (GM) এর মধ্যে সম্পর্ক কী? ক. AM < GM খ. AM = GM গ. AM > GM (a≠b হলে) ঘ. AM ≤ GM | উত্তর: গ | ব্যাখ্যা: যেকোনো ভিন্ন ধনাত্মক সংখ্যার ক্ষেত্রে AM সর্বদা GM এর চেয়ে বড় হয়। (যেমন ১০ > ৮)।


১৭০. ৩টি ক্রমিক বিজোড় সংখ্যার যোগফল ৮৭ হলে, মাঝের সংখ্যাটি কত? ক. ২৭ খ. ২৯ গ. ৩১ ঘ. ৩৩ | উত্তর: খ | ব্যাখ্যা: মাঝের সংখ্যাটি হলো গড়। ৮৭/৩ = ২৯। এটি সমান্তর ধারারও লজিক।


১৭১. log3 + log9 + log27 + ... ধারার ১ম ১০টি পদের সমষ্টি কত? ক. ৫৫ log3 খ. ৪৫ log3 গ. 55 log9 ঘ. 100 log3 | উত্তর: ক | ব্যাখ্যা: log3 + 2log3 + 3log3 + ... = log3(1+2+3...+10) = log3 × 55 = 55 log3।


১৭২. log2 + log4 + log8 + ... ধারার ১০ম পদ কত? ক. 10 log2 খ. 8 log2 গ. 512 log2 ঘ. 1024 log2 | উত্তর: ক | ব্যাখ্যা: ১০ম পদ = log(2^10) = 10 log2।


১৭৩. একটি সমান্তর ধারার ১ম পদ ৫, সাধারণ অন্তর ২। এর প্রতিটি পদের সাথে ৩ গুণ করলে নতুন ধারাটি কী হবে? ক. সমান্তর খ. গুণোত্তর গ. উভয় ঘ. কোনোটিই নয় | উত্তর: ক | ব্যাখ্যা: ৫, ৭, ৯... কে ৩ দিয়ে গুণ করলে ১৫, ২১, ২৭... পার্থক্য ৬ (সমান্তর)। সমান্তর ধারার সব পদকে একই সংখ্যা দিয়ে গুণ করলে সমান্তর ধারাই থাকে।


১৭৪. একটি গুণোত্তর ধারার সব পদের সাথে ২ যোগ করলে নতুন ধারাটি কী হবে? ক. সমান্তর খ. গুণোত্তর গ. উভয় ঘ. কোনোটিই নয় | উত্তর: ঘ | ব্যাখ্যা: গুণোত্তর ধারায় যোগ/বিয়োগ করলে তা আর গুণোত্তর বা সমান্তর থাকে না।


১৭৫. একটি গুণোত্তর ধারার প্রতিটি পদকে বর্গ করলে নতুন ধারাটি কী হবে? ক. সমান্তর খ. গুণোত্তর গ. উভয় ঘ. কোনোটিই নয় | উত্তর: খ | ব্যাখ্যা: a, ar, ar² কে বর্গ করলে a², a²r², a²r⁴ হয়, যার সাধারণ অনুপাত r², তাই এটি গুণোত্তরই থাকে।


১৭৬. ৫+৭+৯+... ধারার n পদের সমষ্টি 480 হলে n = ? ক. ১৮ খ. ১৯ গ. ২০ ঘ. ২১ | উত্তর: গ | ব্যাখ্যা: n/2 [10 + (n-1)2] = 480 ⇒ n(5 + n - 1) = 480 ⇒ n(n+4) = 480। ২০×২৪=৪৮০। তাই n=২০।


১৭৭. একটি সমান্তর ধারার ৩য় ও ৫ম পদের সমষ্টি ১০ হলে, ৪র্থ পদ কত? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: খ | ব্যাখ্যা: T₃ + T₅ = (a+2d) + (a+4d) = 2a+6d = 2(a+3d) = 2×T₄। তাই 2×T₄ = 10 ⇒ T₄ = 5। (মাঝের পদ গড়ের সমান)।


১৭৮. একটি গুণোত্তর ধারার ৩য় ও ৫ম পদের গুণফল ৬৪ হলে, ৪র্থ পদ কত? ক. ৪ খ. ৬ গ. ৮ ঘ. ১০ | উত্তর: গ | ব্যাখ্যা: T₃ × T₅ = (ar²) × (ar⁴) = a²r⁶ = (ar³)² = (T₄)²। (T₄)² = ৬৪ ⇒ T₄ = ৮।


১৭৯. দুটি সমান্তর ধারার n পদের সমষ্টির অনুপাত (3n+8) : (7n+15)। তাদের ১২তম পদের অনুপাত কত? ক. ৭/১৬ খ. ৭/১৬ গ. ৭৭/১৭৬ ঘ. কোনোটিই নয় | উত্তর: গ | ব্যাখ্যা: ১২তম পদের অনুপাত বের করতে n এর জায়গায় 2(12)-1 = 23 বসাতে হয়। (3×23+8) / (7×23+15) = 77 / 176 = 7/16।


১৮০. ২, ৪, ৬... সমান্তর ধারার n পদের সমষ্টি S হলে, S এর মান কোনটি? ক. n² খ. n(n+1) গ. n(n+1)/2 ঘ. 2n(n+1) | উত্তর: খ | ব্যাখ্যা: এটি জোড় সংখ্যার সমষ্টি, যার সূত্র n(n+1)।


১৮১. 1/(1×2) + 1/(2×3) + 1/(3×4) + ... n পদ পর্যন্ত সমষ্টি কত? ক. n/(n+1) খ. 1/n গ. (n-1)/n ঘ. 1/(n+1) | উত্তর: ক | ব্যাখ্যা: ভগ্নাংশগুলোকে (1 - 1/2) + (1/2 - 1/3) এভাবে ভাঙলে সব কেটে গিয়ে 1 - 1/(n+1) থাকে। লসাগু করলে n/(n+1)।


১৮২. সমান্তর ধারার ৫টি পদের সমষ্টি ৩০ হলে, প্রথম ও শেষ পদের গড় কত? ক. ৫ খ. ৬ গ. ১০ ঘ. ১৫ | উত্তর: খ | ব্যাখ্যা: গড় = সমষ্টি / পদসংখ্যা = ৩০ / ৫ = ৬। প্রথম ও শেষ পদের গড় পুরো ধারার গড়ের সমান।


১৮৩. x, y, z সমান্তর ধারায় এবং x, y, t গুণোত্তর ধারায় থাকলে কোনটি সঠিক? ক. y² = xt খ. 2y = x+z গ. ক ও খ উভয়ই ঘ. y = xz | উত্তর: গ | ব্যাখ্যা: সমান্তর ধারার শর্ত 2y = x+z এবং গুণোত্তর ধারার শর্ত y² = xt। দুটোই সঠিক।


১৮৪. a, b, c গুণোত্তর ধারায় থাকলে log a, log b, log c কোন ধারায় থাকবে? ক. সমান্তর খ. গুণোত্তর গ. ধ্রুবক ঘ. কোনোটিই নয় | উত্তর: ক | ব্যাখ্যা: b² = ac ⇒ 2log b = log a + log c। এটি সমান্তর ধারার শর্ত।
১৮৫. ১ থেকে ১০ পর্যন্ত বিজোড় সংখ্যার ঘনের সমষ্টি কত? ক. ১২২৫ খ. ১৩২৫ গ. ১৪২৫ ঘ. ১৫২৫ | উত্তর: ক | ব্যাখ্যা: 1³+3³+5³+7³+9³। সমষ্টির সূত্র n²(2n²-1) = 5²(2×25-1) = 25×49 = 1225।
১৮৫. ১ থেকে ১০ পর্যন্ত বিজোড় সংখ্যার ঘনের সমষ্টি কত? ক. ১২২৫ খ. ১২২৫ গ. ১২২৫ ঘ. ১২২৫ | উত্তর: অপশন অপ্রাসঙ্গিক, মান ১২২৫ | ব্যাখ্যা: 1³+3³+5³+7³+9³। সমষ্টির সরাসরি সূত্র n²(2n²-1) = 5²(2×25-1) = 25×49 = 1225।


১৮৬. কোনো সমান্তর ধারার m তম পদ n এবং n তম পদ m হলে, ধারাটির সাধারণ অন্তর কত? ক. 1 খ. -1 গ. 0 ঘ. m-n | উত্তর: খ | ব্যাখ্যা: a+(m-1)d = n এবং a+(n-1)d = m। বিয়োগ করলে d(m-n) = n-m ⇒ d = -1।


১৮৭. একটি ধারার n-তম পদ = (-1)^n * n হলে, ১ম ৩ পদের সমষ্টি কত? ক. 0 খ. -2 গ. 2 ঘ. -1 | উত্তর: খ | ব্যাখ্যা: পদগুলো: -1, +2, -3। সমষ্টি = (-1) + 2 - 3 = -2।


১৮৮. ফিবোনাচ্চি (Fibonacci) ধারার বৈশিষ্ট্য কী? ক. সাধারণ অন্তর সমান খ. সাধারণ অনুপাত সমান গ. পূর্ববর্তী দুই পদের যোগফল ঘ. পূর্ববর্তী দুই পদের গুণফল | উত্তর: গ | ব্যাখ্যা: ফিবোনাচ্চি ধারায় যেকোনো পদ তার আগের দুটি পদের যোগফলের সমান (১, ১, ২, ৩, ৫, ৮...)।


১৮৯. ০, ১, ১, ২, ৩, ৫, ৮... ফিবোনাচ্চি ধারার ৮ম পদ কত? ক. ৮ খ. ১১ গ. ১৩ ঘ. ২১ | উত্তর: গ | ব্যাখ্যা: ১ম=০, ২য়=১, ৩য়=১, ৪র্থ=২, ৫ম=৩, ৬ষ্ঠ=৫, ৭ম=৮। ৮ম পদ = ৫+৮ = ১৩।


১৯০. একটি সমান্তর ধারার সাধারণ অন্তর 0 হলে প্রথম ১০টি পদের সমষ্টি কত (প্রথম পদ a)? ক. 10a খ. a^10 গ. a/10 ঘ. 10+a | উত্তর: ক | ব্যাখ্যা: সবগুলো পদ a হবে। ১০টি a এর সমষ্টি 10a।
১৯১. log 5 + log 25 + log 125 + ... ধারার ৭ম পদ কত? ক. log 3125 খ. 6 log 5 গ. 7 log 5 ঘ. log 5⁶ | উত্তর: গ | ব্যাখ্যা: log 5, 2log 5, 3log 5... ৭ম পদ = 7 log 5।
১৯১. log 5 + log 25 + log 125 + ... ধারার ৭ম পদ কত? ক. log 3125 খ. 6 log 5 গ. 7 log 5 ঘ. log 5^6 | উত্তর: গ | ব্যাখ্যা: log 5, 2log 5, 3log 5... ৭ম পদ = 7 log 5।


১৯২. ১/২, ১/৬, ১/১২, ১/২০... ধারার n-তম পদ কোনটি? ক. 1/n খ. 1/(n+1) গ. 1/n(n+1) ঘ. 1/2n | উত্তর: গ | ব্যাখ্যা: ১/(১×২), ১/(২×৩), ১/(৩×৪)... n-তম পদ 1/n(n+1)।


১৯৩. কোনো ধারার n-তম পদ = n² - n + 1 হলে, ২য় পদ কত? ক. 1 খ. 2 গ. 3 ঘ. 4 | উত্তর: গ | ব্যাখ্যা: n=2 বসালে, 2² - 2 + 1 = 4 - 2 + 1 = 3।


১৯৪. a, b, c, d সমান্তর ধারায় থাকলে (a-d) এর মান কত? ক. 2b খ. -3(b-c) গ. 3(b-c) ঘ. c-b | উত্তর: গ | ব্যাখ্যা: সাধারণ অন্তর = b-a = c-b = d-c। a-d = (a-b)+(b-c)+(c-d) = -(c-b)-(c-b)-(c-b) = -3(c-b) = 3(b-c)।


১৯৫. 3, 33, 333, 3333... ধারাটি কী ধরনের? ক. সমান্তর খ. গুণোত্তর গ. কোনোটিই নয় ঘ. ফিবোনাচ্চি | উত্তর: গ | ব্যাখ্যা: অন্তর বা অনুপাত কোনোটিই সমান নয় (30, 300 এবং 11, 10.09)। এটি সমান্তর বা গুণোত্তর কোনোটিই নয়।
১৯৬. একটি সমান্তর ধারার প্রথম n পদের সমষ্টি Sₙ হলে Sₙ - Sₙ₋₁ = ? ক. a খ. d গ. n-তম পদ ঘ. 0 | উত্তর: গ | ব্যাখ্যা: n পদের সমষ্টি থেকে (n-1) পদের সমষ্টি বাদ দিলে শুধু শেষ পদ (n-তম পদ) বাকি থাকে।
১৯৬. একটি সমান্তর ধারার প্রথম n পদের সমষ্টি S_n হলে S_n - S_(n-1) = ? ক. a খ. d গ. n-তম পদ ঘ. 0 | উত্তর: গ | ব্যাখ্যা: n পদের সমষ্টি থেকে (n-1) পদের সমষ্টি বাদ দিলে শুধু শেষ পদ (n-তম পদ) বাকি থাকে।


১৯৭. ১-১০০ পর্যন্ত স্বাভাবিক সংখ্যাগুলোর যোগফল বের করার সূত্র কে আবিষ্কার করেন? ক. পিথাগোরাস খ. নিউটন গ. কার্ল ফ্রেডরিখ গাউস ঘ. ইউক্লিড | উত্তর: গ | ব্যাখ্যা: গণিতবিদ গাউস ছোটবেলায় ১ থেকে ১০০ পর্যন্ত যোগ করার শর্টকাট n(n+1)/2 বের করেছিলেন।


১৯৮. a, b, c গুণোত্তর ধারায় থাকলে (a+b+c)(a-b+c) = ? ক. a²+b²+c² খ. a²+c² গ. a²+b²+c² (তবে b²=ac বসিয়ে a²+ac+c²) ঘ. a²+b²+c² | উত্তর: গ | ব্যাখ্যা: গুণ করলে a² - ab + ac + ab - b² + bc + ac - bc + c² = a² + 2ac - b² + c²। যেহেতু b²=ac, তাই 2ac - ac = ac বা b²। উত্তর a²+b²+c²।


১৯৯. ৯, ৩৬, ৮১, ১৪৪... ধারার n-তম পদ কোনটি? ক. 3n² খ. (3n)² গ. 9n ঘ. 9n² | উত্তর: খ | ব্যাখ্যা: ৩², ৬², ৯², ১২²... অর্থাৎ (3n)²।


২০০. পরীক্ষার হলে ধারা চেনার সবচেয়ে সহজ উপায় কী? ক. শেষ পদ দেখা খ. পর পর ২টি পদের বিয়োগফল ও ভাগফল চেক করা গ. ১ম পদ দেখা ঘ. সমষ্টি দেখা | উত্তর: খ | ব্যাখ্যা: বিয়োগফল সমান হলে সমান্তর, ভাগফল সমান হলে গুণোত্তর ধারা। এটিই ধারা চেনার প্রথম ধাপ।
