পর্ব ১: শতকরা (Percentage)
১. ১/৪ কে শতকরায় প্রকাশ করলে কত হয়? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: যেকোনো ভগ্নাংশকে শতকরায় নিতে ১০০ দ্বারা গুণ করতে হয়। (১/৪) × ১০০ = ২৫%।
১৩০. একটি পরীক্ষায় পাস মার্ক ৩৩%। এক ছাত্র ২৫% পেয়ে ৩২ নম্বরের জন্য ফেল করল। পূর্ণমান কত? ক. ৩০০ খ. ৩৫০ গ. ৪০০ ঘ. ৫০০ | উত্তর: গ | ব্যাখ্যা: পাস করতে আরও ৮% লাগে (৩৩-২৫)। ৮% = ৩২ হলে ১০০% = ৪০০।

১৩১. দুটি সংখ্যার পার্থক্য তাদের যোগফলের ২০%। সংখ্যা দুটির অনুপাত কত? ক. ২:১ খ. ৩:২ গ. ৪:৩ ঘ. ৫:৪ | উত্তর: খ | ব্যাখ্যা: x-y = 0.2(x+y) ⇒ x-y = 0.2x + 0.2y ⇒ 0.8x = 1.2y ⇒ x/y = 1.2/0.8 = 3/2।

১৩২. একটি মিশ্রণে ২০% লবণ। ১০ লিটার পানি বাষ্পীভূত করলে লবণ ৩০% হয়। মূল মিশ্রণ কত লিটার ছিল? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: লবণের পরিমাণ অপরিবর্তিত। x এর ২০% = (x-১০) এর ৩০% ⇒ ২০x = ৩০x - ৩০০ ⇒ x = ৩০।

১৩৩. ২৫% অ্যালকোহল যুক্ত ১০ লিটার মিশ্রণে কত লিটার পানি মেশালে অ্যালকোহল ২০% হবে? ক. ২ খ. ২.৫ গ. ৩ ঘ. ৩.৫ | উত্তর: খ | ব্যাখ্যা: ১০ লিটারের ২৫% = (১০+x) এর ২০%। ২.৫ = ২ + ০.২x ⇒ ০.২x = ০.৫ ⇒ x = ২.৫ লিটার।

১৩৪. একটি টিভির মূল্য ২০% কমিয়ে আবার ২০% কমানো হলো। মোট কত কমানো হলো? ক. ৩৬% খ. ৪০% গ. ৪৪% ঘ. ৪৬% | উত্তর: ক | ব্যাখ্যা: -২০ - ২০ + (২০×২০)/১০০ = -৩৬% (অর্থাৎ ৩৬% কমানো হলো)।

১৩৫. ১২% ক্ষতিতে বিক্রি করা হলো। বিক্রয়মূল্য ৪৮ বেশি হলে ১২% লাভ হতো। ক্রয়মূল্য কত? ক. ১৫০ খ. ১৮০ গ. ২০০ ঘ. ২২০ | উত্তর: গ | ব্যাখ্যা: পার্থক্য ২৪% = ৪৮। ১০০% = ২০০।

১৩৬. ক্রয়মূল্যের ওপর ৫০% লাভ হলে, বিক্রয়মূল্যের ওপর লাভ কত? ক. ২৫% খ. ৩০% গ. ৩৩.৩৩% ঘ. ৪০% | উত্তর: গ | ব্যাখ্যা: ক্রয় ১০০, লাভ ৫০, বিক্রয় ১৫০। বিক্রয়ের ওপর লাভ = (৫০/১৫০)×১০০ = ৩৩.৩৩%।

১৩৭. বিক্রয়মূল্যের ওপর ৫০% লাভ হলে, ক্রয়মূল্যের ওপর লাভ কত? ক. ৫০% খ. ৭৫% গ. ১০০% ঘ. ১২৫% | উত্তর: গ | ব্যাখ্যা: বিক্রয় ১০০, লাভ ৫০, ক্রয় ৫০। ক্রয়মূল্যের ওপর লাভ = (৫০/৫০)×১০০ = ১০০%।

১৩৮. ১ টাকার ১% কত পয়সা? ক. ০.১ খ. ১ গ. ১০ ঘ. ১০০ | উত্তর: খ | ব্যাখ্যা: ১ টাকা = ১০০ পয়সা। ১০০ পয়সার ১% = ১ পয়সা।

১৩৯. একটি সংখ্যাকে ৫ দিয়ে ভাগ করার বদলে ৫ দিয়ে গুণ করলে শতকরা কত ত্রুটি হয়? ক. ১০০০% খ. ২০০০% গ. ২৪০০% ঘ. ২৫০০% | উত্তর: গ | ব্যাখ্যা: ধরি সংখ্যাটি ১। সঠিক উত্তর ১/৫ = ০.২। ভুল উত্তর ৫। ত্রুটি ৪.৮। ত্রুটি% = (৪.৮/০.২)×১০০ = ২৪০০%।

১৪০. ১০ টাকার ১০% = ১ টাকার কত % ? ক. ১% খ. ১০% গ. ১০০% ঘ. ১০০০% | উত্তর: গ | ব্যাখ্যা: ১০ টাকার ১০% = ১ টাকা। ১ টাকা হলো ১ টাকার ১০০%।

১৪১. ২৫ এর ২৫% = কত? ক. ৬.২৫ খ. ৬.৫ গ. ৬.৭৫ ঘ. ৭ | উত্তর: ক | ব্যাখ্যা: (২৫×২৫)/১০০ = ৬২৫/১০০ = ৬.২৫।

১৪২. একটি বৃত্তের ব্যাস ১০% বাড়লে পরিধি বাড়ে কত? ক. ৫% খ. ১০% গ. ২০% ঘ. ২১% | উত্তর: খ | ব্যাখ্যা: পরিধি (2πr) ব্যাসের সমানুপাতিক। তাই ব্যাস ১০% বাড়লে পরিধিও ঠিক ১০% ই বাড়বে। (তবে ক্ষেত্রফল বাড়তো ২১%)।

১৪৩. একটি বর্গের পরিসীমা ২০% কমলে ক্ষেত্রফল কমে কত? ক. ২০% খ. ৩৬% গ. ৪০% ঘ. ৪৪% | উত্তর: খ | ব্যাখ্যা: পরিসীমা কমা মানে বাহু ২০% কমা। ক্ষেত্রফল = -২০ - ২০ + ৪ = ৩৬% কমবে।

১৪৪. ২০% লাভে একটি জিনিস বিক্রি হলো। বিক্রয়মূল্য ১০% কম হলে লাভ হতো কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৫% | উত্তর: ক | ব্যাখ্যা: ক্রয় ১০০, বিক্রয় ১২০। নতুন বিক্রয়মূল্য ১২০ এর ১০% কম = ১০৮। লাভ ৮%।

১৪৫. ১৫ টাকায় ১২টি কিনে ১২ টাকায় ১৫টি বিক্রি করলে ক্ষতি কত? ক. ২৫% খ. ৩০% গ. ৩৬% ঘ. ৪০% | উত্তর: গ | ব্যাখ্যা: ক্রয়=১৫×১৫=২২৫, বিক্রয়=১২×১২=১৪৪। ক্ষতি=৮১। ক্ষতি% = (৮১/২২৫)×১০০ = ৩৬%।

১৪৬. ১০০ টাকায় ১০টি কিনে ১০০ টাকায় ৮টি বিক্রি করলে লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: (১০-৮)/৮ × ১০০ = ২৫%।

১৪৭. ৩ বার ২০% করে ছাড় দিলে সমতুল্য একক ছাড় কত? ক. ৪৮.৮% খ. ৫০% গ. ৫৫.২% ঘ. ৬০% | উত্তর: ক | ব্যাখ্যা: প্রথম দুটির সমতুল্য ৩৬% (২০+২০-৪)। ৩৬% ও ২০% এর সমতুল্য: ৩৬ + ২০ - (৩৬×২০)/১০০ = ৫৬ - ৭.২ = ৪৮.৮%।

১৪৮. ৪০% লাভে একটি দ্রব্য বিক্রয় করা হলো। ক্রয়মূল্য দ্বিগুণ হলে ক্ষতি কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: গ | ব্যাখ্যা: প্রাথমিক ক্রয় ১০০, বিক্রয় ১৪০। নতুন ক্রয় ২০০, বিক্রয় ১৪০। ক্ষতি ৬০। ক্ষতি% = (৬০/২০০)×১০০ = ৩০%।

১৪৯. একজন তার বেতনের ২০% সঞ্চয় করে। বেতন ২০% বাড়লে সঞ্চয়ও ২০% বাড়ে। তার ব্যয় কত % বাড়ে? ক. ১০% খ. ১৫% গ. ২০% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: আয় ১০০, সঞ্চয় ২০, ব্যয় ৮০। নতুন আয় ১২০, নতুন সঞ্চয় ২৪। নতুন ব্যয় ৯৬। ব্যয় বৃদ্ধি ১৬। (১৬/৮০)×১০০ = ২০%।

১৫০. ২/৩ ভগ্নাংশটি ৩/৪ এর শতকরা কত? ক. ৭৫% খ. ৮০% গ. ৮৮.৮৯% ঘ. ৯০% | উত্তর: গ | ব্যাখ্যা: (২/৩) ÷ (৩/৪) × ১০০ = (৮/৯) × ১০০ = ৮৮.৮৯%।

১৫১. ১২০ জন ছাত্রের মধ্যে ৩০ জন ফেল করলে পাসের হার কত? ক. ৭০% খ. ৭৫% গ. ৮০% ঘ. ৮৫% | উত্তর: খ | ব্যাখ্যা: পাস করেছে ৯০ জন। পাসের হার = (৯০/১২০)×১০০ = ৭৫%।

১৫২. ৫ টাকায় ৪টি দরে লেবু কিনে, ৪ টাকায় ৫টি দরে বিক্রি করলে শতকরা লাভ বা ক্ষতি কত? ক. ৩৬% লাভ খ. ৩৬% ক্ষতি গ. ৫৬% লাভ ঘ. ৫৬% ক্ষতি | উত্তর: খ | ব্যাখ্যা: ক্রয়=৫×৫=২৫, বিক্রয়=৪×৪=১৬। ক্ষতি=৯। ক্ষতি% = (৯/২৫)×১০০ = ৩৬% ক্ষতি।

১৫৩. ক্রয়মূল্য বিক্রয়মূল্যের ৫/৬ অংশ হলে লাভ কত? ক. ১৬.৬৭% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: বিক্রয় ৬, ক্রয় ৫। লাভ ১। (১/৫)×১০০ = ২০%।

১৫৪. ১০% লাভে বিক্রি করা হলো। ক্রয়মূল্য ১০% কম এবং বিক্রয়মূল্য ৩ টাকা কম হলে ২০% লাভ হতো। ক্রয়মূল্য কত? ক. ১০০ খ. ১২০ গ. ১৫০ ঘ. ২০০ | উত্তর: গ | ব্যাখ্যা: ধরি CP=100x, SP=110x। নতুন CP=90x, নতুন SP=110x-3। 90x এর 120% = 110x - 3 ⇒ 108x = 110x - 3 ⇒ 2x = 3 ⇒ x = 1.5। CP = 150।

১৫৫. ধার্যমূল্য ৫০০ টাকা এবং বিক্রয়মূল্য ৪০০ টাকা হলে ছাড়ের হার কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: ছাড় ১০০ টাকা। (১০০/৫০০)×১০০ = ২০%।

১৫৬. পরপর ১৫% ও ১০% ছাড়ের সমতুল্য ছাড় কত? ক. ২৩.৫% খ. ২৪% গ. ২৫% ঘ. ২৫.৫% | উত্তর: ক | ব্যাখ্যা: ১৫ + ১০ - (১৫×১০)/১০০ = ২৫ - ১.৫ = ২৩.৫%।

১৫৭. কোনো সংখ্যার ৩৭.৫% হলো ৩০০। সংখ্যাটি কত? ক. ৬০০ খ. ৭০০ গ. ৮০০ ঘ. ৯০০ | উত্তর: গ | ব্যাখ্যা: ৩৭.৫% = ৩০০ হলে, ১০০% = (৩০০/৩৭.৫)×১০০ = ৮০০।

১৫৮. ৩/৪ কে শতকরায় প্রকাশ করলে কত হয়? ক. ৫০% খ. ৬০% গ. ৭৫% ঘ. ৮০% | উত্তর: গ | ব্যাখ্যা: (৩/৪)×১০০ = ৭৫%।

১৫৯. ৮০ এর কত % হবে ৩২? ক. ৩০% খ. ৩৫% গ. ৪০% ঘ. ৪৫% | উত্তর: গ | ব্যাখ্যা: (৩২/৮০)×১০০ = ৪০%।

১৬০. ক্রয়মূল্য ২০০, বিক্রয়মূল্য ২৫০। লাভ কত %? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: লাভ ৫০। (৫০/২০০)×১০০ = ২৫%।

১৬১. ৫০ টাকার জিনিস ৬০ টাকায় বিক্রয় করলে লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: লাভ ১০। (১০/৫০)×১০০ = ২০%।

১৬২. ২০০ টাকায় বিক্রি করায় ২০% ক্ষতি হয়। ক্রয়মূল্য কত? ক. ২২০ খ. ২৪০ গ. ২৫০ ঘ. ৩০০ | উত্তর: গ | ব্যাখ্যা: ৮০% = ২০০ হলে ১০০% = ২৫০।

১৬৩. ৪০০ টাকায় কিনে কত টাকায় বিক্রি করলে ১০% ক্ষতি হবে? ক. ৩৪০ খ. ৩৫০ গ. ৩৬০ ঘ. ৩৮০ | উত্তর: গ | ব্যাখ্যা: ৪০০ এর ৯০% = ৩৬০।

১৬৪. ক্রয়মূল্য ১০০, বিক্রয়মূল্য ১২০। লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: লাভ ২০। (২০/১০০)×১০০ = ২০%।

১৬৫. ১৩% ক্ষতিতে বিক্রি করা হলো। বিক্রয়মূল্য ২৭ টাকা বেশি হলে ৫% লাভ হতো। ক্রয়মূল্য কত? ক. ১০০ খ. ১২০ গ. ১৫০ ঘ. ১৮০ | উত্তর: গ | ব্যাখ্যা: পার্থক্য ১৮% = ২৭। ১০০% = ১৫০।

১৬৬. টাকায় ৫টি কিনে টাকায় ৪টি বিক্রি করলে লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: (৫-৪)/৪ × ১০০ = ২৫%।

১৬৭. ২৫% লাভে বিক্রয় করলে ক্রয়মূল্য ও বিক্রয়মূল্যের অনুপাত কত? ক. ৩:৪ খ. ৪:৫ গ. ৫:৬ ঘ. ৬:৭ | উত্তর: খ | ব্যাখ্যা: ক্রয় ১০০, বিক্রয় ১২৫। ১০০:১২৫ = ৪:৫।

১৬৮. ক্রয়মূল্য : বিক্রয়মূল্য = ৫ : ৬ হলে লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: লাভ ১। (১/৫)×১০০ = ২০%।

১৬৯. ১০০টি কিনে ১২০টি বিক্রয় (একই দামে) করলে ক্ষতি কত? ক. ১৫% খ. ১৬.৬৭% গ. ২০% ঘ. ২৫% | উত্তর: খ | ব্যাখ্যা: (১২০-১০০)/১২০ × ১০০ = ১৬.৬৭%।

১৭০. ধার্যমূল্য থেকে ২০% ছাড় দেওয়ার পর বিক্রয়মূল্য ৪০০ টাকা। ধার্যমূল্য কত? ক. ৪৫০ খ. ৪৮০ গ. ৫০০ ঘ. ৫২০ | উত্তর: গ | ব্যাখ্যা: ৮০% = ৪০০। ১০০% = ৫০০।

১৭১. ছাড় দেওয়ার পর ১২% লাভ হয়। ছাড় ২০% হলে ক্রয় ও ধার্যমূল্যের অনুপাত কত? ক. ৪:৫ খ. ৫:৬ গ. ৫:৭ ঘ. ৬:৭ | উত্তর: গ | ব্যাখ্যা: ক্রয় ১০০, বিক্রয় ১১২। ধার্যমূল্যের ৮০% = ১১২। ধার্যমূল্য = ১৪০। ১০০:১৪০ = ৫:৭।

১৭২. কোনো সংখ্যার ৫০% এর সাথে ৫০ যোগ করলে সংখ্যাটিই পাওয়া যায়। সংখ্যাটি কত? ক. ৭৫ খ. ১০০ গ. ১২৫ ঘ. ১৫০ | উত্তর: খ | ব্যাখ্যা: ৫০% + ৫০ = ১০০%। অর্থাৎ ৫০% = ৫০। ১০০% = ১০০।

১৭৩. ক এর বেতন খ এর চেয়ে ২০% কম। খ এর বেতন ক এর কত % বেশি? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৩৩.৩৩% | উত্তর: খ | ব্যাখ্যা: [২০/(১০০-২০)] × ১০০ = ২৫%।

১৭৪. আয়তক্ষেত্রের দৈর্ঘ্য প্রস্থের চেয়ে ২০% বেশি। প্রস্থ দৈর্ঘ্যের কত % কম? ক. ১৫% খ. ১৬.৬৭% গ. ২০% ঘ. ২৫% | উত্তর: খ | ব্যাখ্যা: [২০/(১০০+২০)] × ১০০ = ১৬.৬৭%।

১৭৫. একটি শ্রেণিতে ৪০% ছাত্রী। ছাত্রের সংখ্যা ৬০ হলে মোট শিক্ষার্থী কত? ক. ৮০ খ. ৯০ গ. ১০০ ঘ. ১২০ | উত্তর: গ | ব্যাখ্যা: ছাত্র ৬০%। ৬০% = ৬০ হলে ১০০% = ১০০।

১৭৬. ২০% পাস করে নাই, এর মানে কত % ফেল করেছে? ক. ১০% খ. ২০% গ. ৮০% ঘ. ১০০% | উত্তর: খ | ব্যাখ্যা: পাস করে নাই মানেই ফেল করেছে (২০%)।

১৭৭. দুটি সংখ্যার অনুপাত ৩:২। প্রথমটি দ্বিতীয়টির কত শতাংশ? ক. ১২০% খ. ১৩৩.৩৩% গ. ১৫০% ঘ. ২০০% | উত্তর: গ | ব্যাখ্যা: (৩/২) × ১০০ = ১৫০%।

১৭৮. একটি শহরের জনসংখ্যা ৮০০০। বছরে ১০% বাড়ে। ৩ বছর পর কত হবে? ক. ১০০০০ খ. ১০৪৮০ গ. ১০৬৪৮ ঘ. ১১০০০ | উত্তর: গ | ব্যাখ্যা: ৮০০০ × ১.১ × ১.১ × ১.১ = ১০৬৪৮।

১৭৯. ৫% হারে জনসংখ্যা বাড়ে। ২ বছরে সমতুল্য বৃদ্ধি কত? ক. ১০% খ. ১০.২৫% গ. ১০.৫% ঘ. ১১% | উত্তর: খ | ব্যাখ্যা: ৫+৫+(৫×৫)/১০০ = ১০.২৫%।

১৮০. ১০টি দ্রব্যের ক্রয়মূল্য ৮টি দ্রব্যের বিক্রয়মূল্যের সমান। লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: (১০-৮)/৮ × ১০০ = ২৫%।

১৮১. অসাধু ব্যবসায়ী ক্রয়মূল্যেই বিক্রি করে কিন্তু ১ কেজিতে ৯৫০ গ্রাম দেয়। লাভ কত? ক. ৫% খ. ৫.২৬% গ. ৫.৫% ঘ. ৬% | উত্তর: খ | ব্যাখ্যা: (৫০/৯৫০)×১০০ = ৫.২৬%।

১৮২. একটি জিনিসের মূল্য ২০% কমিয়ে আবার ২০% বাড়ানো হলো। এতে শতকরা কী পরিবর্তন হলো? ক. অপরিবর্তিত খ. ৪% হ্রাস গ. ৪% বৃদ্ধি ঘ. ৮% হ্রাস | উত্তর: খ | ব্যাখ্যা: (২০²/১০০)% = ৪% হ্রাস।

১৮৩. এক ব্যক্তি একটি জিনিস ৮০ টাকায় কিনে ১০০ টাকায় বিক্রি করল। তার লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: লাভ ২০। (২০/৮০)×১০০ = ২৫%।

১৮৪. ২০০ টাকায় একটি শার্ট কিনে ২৫% লাভে বিক্রি করলে বিক্রয়মূল্য কত হবে? ক. ২২০ খ. ২৪০ গ. ২৫০ ঘ. ২৬০ | উত্তর: গ | ব্যাখ্যা: ২০০ এর ১২৫% = ২৫০।

১৮৫. একটি কলম ৫০ টাকায় কিনে ৪০ টাকায় বিক্রি করলে ক্ষতি কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: ক্ষতি ১০। (১০/৫০)×১০০ = ২০%।

১৮৬. ১২০ টাকায় বিক্রি করে ২০% লাভ হলো। ক্রয়মূল্য কত? ক. ৮০ খ. ৯০ গ. ১০০ ঘ. ১১০ | উত্তর: গ | ব্যাখ্যা: ১২০% = ১২০ হলে ১০০% = ১০০।

১৮৭. টাকায় ৬টি লেবু কিনে টাকায় ৫টি লেবু বিক্রি করলে লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: (৬-৫)/৫ × ১০০ = ২০%।

১৮৮. একটি ছাতার দাম ৩০০ টাকা। ২০% ছাড় দিলে দাম কত হবে? ক. ২২০ খ. ২৪০ গ. ২৫০ ঘ. ২৬০ | উত্তর: খ | ব্যাখ্যা: ৩০০ এর ৮০% = ২৪০।

১৮৯. একটি দ্রব্যের ক্রয়মূল্য ও বিক্রয়মূল্যের অনুপাত ৪:৫। শতকরা লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: লাভ ১। (১/৪)×১০০ = ২৫%।

১৯০. ১০% ক্ষতিতে বিক্রয়মূল্য ৯০ টাকা হলে ক্রয়মূল্য কত? ক. ৯৫ খ. ১০০ গ. ১০৫ ঘ. ১১০ | উত্তর: খ | ব্যাখ্যা: ৯০% = ৯০ হলে ১০০% = ১০০।

১৯১. ২৫% লাভে বিক্রয়মূল্য ১২৫ টাকা হলে ক্রয়মূল্য কত? ক. ৯০ খ. ১০০ গ. ১১০ ঘ. ১২০ | উত্তর: খ | ব্যাখ্যা: ১২৫% = ১২৫ হলে ১০০% = ১০০।

১৯২. একটি বই ১০০ টাকায় কিনে ১২০ টাকায় বিক্রি করা হলো। শতকরা লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: লাভ ২০ টাকা যা ১০০ টাকার ২০%।

১৯৩. কোনো দ্রব্যের ধার্যমূল্য ২০০ টাকা। ১০% ছাড় দিলে বিক্রয়মূল্য কত? ক. ১৭০ খ. ১৮০ গ. ১৯০ ঘ. ১৯৫ | উত্তর: খ | ব্যাখ্যা: ২০০ এর ৯০% = ১৮০।

১৯৪. ২০% এবং ১০% পরপর ছাড়ের সমতুল্য ছাড় কত? ক. ২৫% খ. ২৮% গ. ৩০% ঘ. ৩২% | উত্তর: খ | ব্যাখ্যা: ২০+১০-(২০×১০)/১০০ = ২৮%।

১৯৫. ক্রয়মূল্যের ওপর ২০% লাভ হলে, বিক্রয়মূল্যের ওপর শতকরা লাভ কত? ক. ১৫% খ. ১৬.৬৭% গ. ২০% ঘ. ২৫% | উত্তর: খ | ব্যাখ্যা: ক্রয় ১০০, বিক্রয় ১২০। (২০/১২০)×১০০ = ১৬.৬৭%।

১৯৬. বিক্রয়মূল্যের ওপর ২০% ক্ষতি হলে, ক্রয়মূল্যের ওপর ক্ষতি কত? ক. ১৫% খ. ১৬.৬৭% গ. ২০% ঘ. ২৫% | উত্তর: খ | ব্যাখ্যা: বিক্রয় ১০০, ক্ষতি ২০, ক্রয় ১২০। (২০/১২০)×১০০ = ১৬.৬৭%।

১৯৭. ৩ বার ১০% করে ছাড় দিলে সমতুল্য ছাড় কত? ক. ২৫% খ. ২৭.১% গ. ৩০% ঘ. ৩২.৪% | উত্তর: খ | ব্যাখ্যা: প্রথম দুটির সমতুল্য ১৯%। ১৯+১০ - (১৯×১০)/১০০ = ২৭.১%।

১৯৮. ১০০ টাকার জিনিস ১২০ টাকায় বিক্রি করলে শতকরা লাভ কত? ক. ১০% খ. ১৫% গ. ২০% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: লাভ ২০। ১০০ টাকার ওপর লাভটাই শতকরা লাভ।

১৯৯. একটি সাইকেল ৮০০ টাকায় কিনে ১০০০ টাকায় বিক্রি করলে শতকরা লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: লাভ ২০০। (২০০/৮০০)×১০০ = ২৫%।

২০০. এক ব্যক্তি তার বেতনের ২০% সঞ্চয় করে। বেতন ২০% বাড়লে সঞ্চয়ও ২০% বাড়ে। তার ব্যয় কত % বাড়ে? ক. ১০% খ. ১৫% গ. ২০% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: সবকিছু সমানুপাতিক হারে বাড়লে ব্যয়ও ঠিক ২০% ই বাড়বে।
