পর্ব ১: অনুপাত ও সমানুপাত (Ratio & Proportion)
১. ক:খ = ৩:৪ এবং খ:গ = ৫:৬ হলে, ক:খ:গ = কত? ক. ১৫:২০:২৪ খ. ১৫:২৪:২০ গ. ১২:১৫:২০ ঘ. ৯:১২:১৮ | উত্তর: ক | ব্যাখ্যা: 'দ' পদ্ধতি ব্যবহার করুন। ৩×৫=১৫, ৪×৫=২০, ৪×৬=২৪। সুতরাং ১৫:২০:২৪।
১১৪. ৪ জনের বয়সের সমষ্টি ৬০ বছর। ৪ বছর পর তাদের বয়সের সমষ্টি কত হবে? ক. ৬৪ খ. ৬৮ গ. ৭২ ঘ. ৭৬ | উত্তর: ঘ | ব্যাখ্যা: ৪ জনের বয়স ৪ বছর করে মোট ৪×৪ = ১৬ বছর বাড়বে। ৬০+১৬ = ৭৬ বছর।






১১৫. পিতা ও মাতার বয়সের অনুপাত ৫:৪। মাতার বয়স ৪০ বছর হলে, পিতার বয়স কত? ক. ৪৫ খ. ৫০ গ. ৫৫ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: ৪ অংশ = ৪০ ⇒ ১ অংশ = ১০। পিতার বয়স ৫ অংশ = ৫০ বছর।






১১৬. ক, খ ও গ এর বয়সের অনুপাত ৩:৫:৭। গ এর বয়স ৪২ বছর হলে, ক এর বয়স কত? ক. ১২ খ. ১৫ গ. ১৮ ঘ. ২১ | উত্তর: গ | ব্যাখ্যা: ৭ অংশ = ৪২ ⇒ ১ অংশ = ৬। ক এর ৩ অংশ = ৩×৬ = ১৮ বছর।






১১৭. রহিমের বয়স ১২ বছর। তার বোনের বয়স তার অর্ধেক। রহিমের বয়স ৫০ বছর হলে বোনের বয়স কত হবে? ক. ২৫ খ. ৪৪ গ. ৪৬ ঘ. ৪৮ | উত্তর: খ | ব্যাখ্যা: বোনের বয়স ১২/২ = ৬ বছর। বয়সের পার্থক্য ১২-৬ = ৬ বছর। রহিম ৫০ হলে বোন ৫০-৬ = ৪৪ বছর হবে। (২৫ হবে না কারণ বয়সের পার্থক্য আজীবন সমান থাকে)।






১১৮. এক বাবার বয়স তার ৩ সন্তানের বয়সের সমষ্টির সমান। ৩ বছর পর বাবার বয়স সন্তানদের বয়সের সমষ্টির চেয়ে ৩ বছর কম হবে। বাবার বর্তমান বয়স কত? ক. ৩০ খ. ৩৩ গ. ৩৬ ঘ. ৩৯ | উত্তর: ৩৩ | ব্যাখ্যা: বাবা = x, ৩ সন্তানের সমষ্টি = x। ৩ বছর পর বাবা x+৩, সন্তানরা x+৯। শর্তমতে, x+৩ = (x+৯) - ৩ ⇒ x+৩ = x+৬ (সমীকরণ মেলে না, তারমানে প্রশ্ন ভুল। সঠিক শর্ত: বাবার বয়স সন্তানদের সমষ্টির দ্বিগুণ ইত্যাদি হতে পারে)।






১১৯. ১৫ বছর পর এক ব্যক্তির বয়স ১৫ বছর পূর্বের বয়সের ৪ গুণ হবে। ব্যক্তির বর্তমান বয়স কত? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: গ | ব্যাখ্যা: x+১৫ = ৪(x-১৫) ⇒ ৩x = ৭৫ ⇒ x = ২৫ বছর।






১২০. একজন লোকের বর্তমান বয়স তার পুত্রের বয়সের ৬ গুণ। ২০ বছর পর লোকটির বয়স পুত্রের বয়সের দ্বিগুণ হবে। লোকটির বর্তমান বয়স কত? ক. ২৫ খ. ৩০ গ. ৩৫ ঘ. ৪০ | উত্তর: খ | ব্যাখ্যা: (৬x+২০)/(x+২০) = ২/১ ⇒ ৬x+২০ = ২x+৪০ ⇒ ৪x = ২০ ⇒ x = ৫। লোকটির বয়স ৬x = ৩০ বছর।






১২১. পিতা ও পুত্রের বয়সের অনুপাত ৭:২। ৫ বছর পর তাদের বয়সের অনুপাত হবে ৮:৩। পিতার বর্তমান বয়স কত? ক. ৩০ খ. ৩৫ গ. ৪০ ঘ. ৪৫ | উত্তর: খ | ব্যাখ্যা: ৭ থেকে ৮ (বৃদ্ধি ১)। ১ অংশ = ৫ বছর। পিতার ৭ অংশ = ৩৫ বছর।






১২২. মায়ের বয়স মেয়ের বয়সের ৫ গুণ। ৩ বছর পর মায়ের বয়স মেয়ের বয়সের ৪ গুণ হবে। মেয়ের বর্তমান বয়স কত? ক. ৬ খ. ৯ গ. ১২ ঘ. ১৫ | উত্তর: খ | ব্যাখ্যা: (৫x+৩)/(x+৩) = ৪/১ ⇒ ৫x+৩ = ৪x+১২ ⇒ x = ৯। মেয়ের বর্তমান বয়স ৯ বছর।






১২৩. ৩ ভাইয়ের বয়সের গুণফল ১৬৫। তাদের বয়সের যোগফল কত? ক. ১৯ খ. ২১ গ. ২৩ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: ১৬৫ কে ভাঙলে: ৩ × ৫ × ১১। যোগফল ৩+৫+১১ = ১৯ বছর।






১২৪. ৫ বছর আগে পিতা ও মাতার বয়সের গড় ছিল ৪০ বছর। বর্তমানে পিতা, মাতা ও এক পুত্রের বয়সের গড় ৩৫ বছর। পুত্রের বর্তমান বয়স কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: খ | ব্যাখ্যা: ৫ বছর আগে পিতা-মাতার মোট বয়স ৮০। বর্তমানে তাদের মোট বয়স ৮০+(৫+৫) = ৯০। ৩ জনের মোট বয়স ৩×৩৫ = ১০৫। পুত্রের বয়স ১০৫-৯০ = ১৫ বছর।






১২৫. ক ও খ এর বয়সের অনুপাত ২:৩। ৫ বছর আগে তাদের বয়সের যোগফল ছিল ৪০। ক এর বর্তমান বয়স কত? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: খ | ব্যাখ্যা: বর্তমানে যোগফল ৪০+(৫+৫) = ৫০। ৫ অংশ = ৫০ ⇒ ১ অংশ = ১০। ক এর বয়স ২ অংশ = ২০ বছর।






১২৬. রহিম ও করিমের বয়সের সমষ্টি ৫০। ১০ বছর আগে রহিমের বয়স করিমের বয়সের দ্বিগুণ ছিল। করিমের বর্তমান বয়স কত? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: খ | ব্যাখ্যা: ১০ বছর আগে সমষ্টি ছিল ৫০-২০ = ৩০। অনুপাত ২:১। ৩ অংশ = ৩০ ⇒ ১ অংশ = ১০। ১০ বছর আগে করিম ১০। বর্তমানে করিম ১০+১০ = ২০ বছর।






১২৭. পিতার বর্তমান বয়স পুত্রের বয়সের ৪ গুণ। ৫ বছর আগে পিতার বয়স পুত্রের বয়সের ৭ গুণ ছিল। পিতার বর্তমান বয়স কত? ক. ৩০ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: (৪x-৫)/(x-৫) = ৭/১ ⇒ ৪x-৫ = ৭x-৩৫ ⇒ ৩x = ৩০ ⇒ x = ১০। পিতার বয়স ৪x = ৪০ বছর।






১২৮. ১০ বছর পর A এর বয়স B এর ১০ বছর পূর্বের বয়সের দ্বিগুণ হবে। A এর বর্তমান বয়স ৯ বছর হলে B এর বর্তমান বয়স কত? ক. ১৯ খ. ১৯.৫ গ. ২০ ঘ. ২১ | উত্তর: খ | ব্যাখ্যা: A+১০ = ২(B-১০)। A=৯ হলে ১৯ = ২B - ২০ ⇒ ২B = ৩৯ ⇒ B = ১৯.৫ বছর।






১২৯. ক এর বর্তমান বয়স খ এর ১২ বছর পূর্বের বয়সের সমান। খ এর বর্তমান বয়স ৪৮ হলে, ক এর বর্তমান বয়স কত? ক. ২৪ খ. ৩০ গ. ৩৬ ঘ. ৪২ | উত্তর: গ | ব্যাখ্যা: খ এর ১২ বছর আগের বয়স ৪৮-১২ = ৩৬। ক এর বর্তমান বয়স ৩৬ বছর।






১৩০. একজন মানুষের বয়স তার জন্মের সালের শেষ দুই অঙ্কের যোগফলের সমান (২০২৩ সালে)। যদি সে ১৯০০ শতকে জন্ম নেয়, তার বয়স কত? ক. ১৮ খ. ২১ গ. ২২ ঘ. ২৩ | উত্তর: অপশন অপ্রাসঙ্গিক | ব্যাখ্যা: লজিক্যাল প্রশ্ন। ১৯xy সালে জন্ম। ২০২৩ - (১৯০০+১০x+y) = x+y ⇒ ১২৩ - ১০x - y = x + y ⇒ ১১x + ২y = ১২৩। x=১১ হলে ১২১+২y=১২৩, y=১. সাল ১৯১১। বয়স ১+১ = ২ বছর। x=৯ হলে ৯৯+২y=১২৩, y=১২ (হবে না)।






১৩১. মা, বাবা ও মেয়ের বয়সের অনুপাত ৭:৮:২। মেয়েটির বয়স ১৪ বছর হলে বাবার বয়স কত? ক. ৪৮ খ. ৫৬ গ. ৬৪ ঘ. ৭২ | উত্তর: খ | ব্যাখ্যা: ২ অংশ = ১৪ ⇒ ১ অংশ = ৭। বাবার ৮ অংশ = ৮×৭ = ৫৬ বছর।






১৩২. A এর বয়স B এর চেয়ে ৫ বছর বেশি এবং C এর চেয়ে ৩ বছর কম। ৩ জনের বয়সের যোগফল ৫২ বছর হলে B এর বয়স কত? ক. ১৩ খ. ১৫ গ. ১৮ ঘ. ২১ | উত্তর: ক | ব্যাখ্যা: B=x, A=x+৫, C=(x+৫)+৩ = x+৮। x + x+৫ + x+৮ = ৫২ ⇒ ৩x = ৩৯ ⇒ x = ১৩ বছর।






১৩৩. পিতা ও পুত্রের বয়সের অনুপাত ৫:২। ৫ বছর পর তাদের বয়সের গুণফল হবে ৩১৫। পিতার বর্তমান বয়স কত? (অপশন টেস্ট) ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: অনুপাত ৫:২ মানে পিতার বয়স ৫ এর গুণিতক। ধরি পিতা ২৫, পুত্র ১০। ৫ বছর পর তারা হবে ৩০ ও ১৫। ৩০×১৫ = ৪৫০ (বেশি হয়ে গেল)। ধরি পিতা ২০, পুত্র ৮। ৫ বছর পর ২৫ ও ১৩। ২৫×১৩ = ৩২৫। (কাছাকাছি, প্রশ্নটিতে ডেটা ত্রুটি থাকতে পারে)।






১৩৪. ৫ বছর আগে ক ও খ এর বয়সের অনুপাত ছিল ৩:৪। বর্তমানে খ এর বয়স ২৫ বছর হলে, ক এর বর্তমান বয়স কত? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: খ | ব্যাখ্যা: ৫ বছর আগে খ এর বয়স ছিল ২০। ৪ অংশ = ২০ ⇒ ১ অংশ = ৫। ৫ বছর আগে ক ছিল ৩×৫ = ১৫। বর্তমানে ক ১৫+৫ = ২০ বছর।






১৩৫. ২ জনের বয়সের অনুপাত ৪:৫ এবং তাদের বয়সের গুণফল ১৬২০। তাদের বয়সের সমষ্টি কত? ক. ৮১ খ. ৯০ গ. ৯৯ ঘ. ১০৮ | উত্তর: ক | ব্যাখ্যা: ৪x × ৫x = ২০x² = ১৬২০ ⇒ x² = ৮১ ⇒ x = ৯। সমষ্টি ৯x = ৯×৯ = ৮১ বছর।






১৩৬. ১২ বছর পর পিতার বয়স পুত্রের বয়সের দ্বিগুণ হবে। বর্তমানে পিতার বয়স পুত্রের বয়সের ৩ গুণ হলে পিতার বর্তমান বয়স কত? ক. ৩৬ খ. ৪৮ গ. ৬০ ঘ. ৭২ | উত্তর: ক | ব্যাখ্যা: (৩x+১২)/(x+১২) = ২/১ ⇒ ৩x+১২ = ২x+২৪ ⇒ x = ১২। পিতার বর্তমান ৩x = ৩৬ বছর।






১৩৭. একজন ব্যক্তির বয়স তার মাতার বয়সের ২/৫ অংশ। ৮ বছর পর তার বয়স মাতার বয়সের অর্ধেক হবে। মাতার বর্তমান বয়স কত? ক. ৩২ খ. ৪০ গ. ৪৮ ঘ. ৫৬ | উত্তর: খ | ব্যাখ্যা: ব্যক্তি ২x, মাতা ৫x। (২x+৮)/(৫x+৮) = ১/২ ⇒ ৪x+১৬ = ৫x+৮ ⇒ x = ৮। মাতার বর্তমান ৫x = ৪০ বছর।






১৩৮. ৩ বছর আগে ৫ সদস্যের একটি পরিবারের গড় বয়স ছিল ১৭ বছর। একটি নতুন শিশু জন্ম নেওয়ার পরও পরিবারের বর্তমান গড় বয়স একই (১৭) আছে। শিশুটির বয়স কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: ৩ বছর আগে ৫ জনের মোট ১৭×৫ = ৮৫। বর্তমানে তাদের বয়স ৮৫+(৫×৩) = ১০০। ৬ জনের বর্তমান মোট ৬×১৭ = ১০২। শিশুটির বয়স ১০২-১০০ = ২ বছর।






১৩৯. পিতা ও পুত্রের বয়সের সমষ্টি ৬০। পিতার বয়স পুত্রের বয়সের ৪ গুণের চেয়ে ৫ বছর কম। পুত্রের বয়স কত? ক. ১০ খ. ১১ গ. ১২ ঘ. ১৩ | উত্তর: ঘ | ব্যাখ্যা: পুত্র x, পিতা ৪x-৫। x + ৪x-৫ = ৬০ ⇒ ৫x = ৬৫ ⇒ x = ১৩ বছর।






১৪০. ৫ বছর পর ক এর বয়স খ এর বর্তমান বয়সের দ্বিগুণ হবে। বর্তমানে খ এর বয়স ১৫ বছর হলে, ক এর বর্তমান বয়স কত? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: খ এর বর্তমান ১৫। ক এর ৫ বছর পরের বয়স ১৫×২ = ৩০ বছর। ক এর বর্তমান বয়স ৩০-৫ = ২৫ বছর।


পর্ব ৩: অংশীদারি কারবার (Partnership)
১৪১. ক ও খ যথাক্রমে ৩০০০ এবং ৫০০০ টাকা মূলধন নিয়ে একটি ব্যবসা শুরু করল। বছর শেষে ৮০০০ টাকা লাভ হলে ক কত টাকা পাবে? ক. ২০০০ খ. ৩০০০ গ. ৪০০০ ঘ. ৫০০০ | উত্তর: খ | ব্যাখ্যা: মূলধনের অনুপাত ৩:৫। ক এর লভ্যাংশ = ৮০০০ × (৩/৮) = ৩০০০ টাকা।






১৪২. ক, খ ও গ যথাক্রমে ২০০০, ৩০০০ এবং ৫০০০ টাকা নিয়ে ব্যবসা শুরু করল। মোট লাভ ১০০০ টাকা হলে গ কত পাবে? ক. ২০০ খ. ৩০০ গ. ৪০০ ঘ. ৫০০ | উত্তর: ঘ | ব্যাখ্যা: অনুপাত ২:৩:৫। মোট ১০ অংশ। গ পাবে ১০ অংশের ৫ অংশ (অর্ধেক) = ৫০০ টাকা।






১৪৩. A ও B একটি ব্যবসায় ৩:২ অনুপাতে মূলধন বিনিয়োগ করে। মোট লাভের ৫% দান করার পর A এর লভ্যাংশ ৮৫৫ টাকা হলে মোট লাভ কত? ক. ১৪০০ খ. ১৫০০ গ. ১৬০০ ঘ. ১৫৫০ | উত্তর: খ | ব্যাখ্যা: A পায় ৩/৫ অংশ। বাকি ৯৫% এর ৩/৫ অংশ = ৮৫৫। ৯৫% = ৮৫৫ × ৫/৩ = ১৪২৫। ১০০% = (১৪২৫/৯৫) × ১০০ = ১৫০০ টাকা।






১৪৪. ক ১০০০০ টাকা দিয়ে একটি ব্যবসা শুরু করল। ৪ মাস পর খ ৫০০০০ টাকা নিয়ে ওই ব্যবসায় যোগ দিল। বছর শেষে তাদের লাভের অনুপাত কত হবে? ক. ১:৫ খ. ২:৫ গ. ৩:৫ ঘ. ৪:৫ | উত্তর: গ | ব্যাখ্যা: ক এর টাকা খাটে ১২ মাস, খ এর টাকা খাটে ৮ মাস। মূলধন×সময় অনুপাত = (১০০০০×১২) : (৫০০০০×৮) = ১২ : ৪০ = ৩:১০। (অপশন ভুল আছে, উত্তর ৩:১০)।






১৪৫. রহিম ৫০০০ টাকা নিয়ে ব্যবসা শুরু করল। ৬ মাস পর করিম ১০,০০০ টাকা নিয়ে যোগ দিল। বছর শেষে লাভের অনুপাত কী হবে? ক. ১:১ খ. ১:২ গ. ২:১ ঘ. ৩:২ | উত্তর: ক | ব্যাখ্যা: রহিমের ৫০০০×১২ = ৬০০০০। করিমের ১০০০০×৬ = ৬০০০০। অনুপাত ১:১।






১৪৬. ৩ জন অংশীদার একটি ব্যবসায় ৩:৪:৫ অনুপাতে মূলধন বিনিয়োগ করে এবং তাদের বিনিয়োগের সময়ের অনুপাত ৪:৫:৬। তাদের লভ্যাংশের অনুপাত কত? ক. ৩:৪:৫ খ. ১২:২০:৩০ গ. ৬:১০:১৫ ঘ. ১৫:২০:২৪ | উত্তর: গ | ব্যাখ্যা: লভ্যাংশ = মূলধন × সময়। অনুপাত = (৩×৪) : (৪×৫) : (৫×৬) = ১২:২০:৩০ = ৬:১০:১৫।






১৪৭. A, B এবং C এর লভ্যাংশের অনুপাত ৫:৩:২ এবং তাদের মূলধনের অনুপাত ৫:৬:৮ হলে তাদের সময়ের অনুপাত কত? ক. ২৪:১২:৫ খ. ৫:৬:৮ গ. ১:২:৪ ঘ. ২:১:৩ | উত্তর: ক | ব্যাখ্যা: সময় = লভ্যাংশ / মূলধন। অনুপাত = ৫/৫ : ৩/৬ : ২/৮ = ১ : ১/২ : ১/৪। ৪ দিয়ে গুণ করলে ৪:২:১ (২৪:১২:৫ নয়, ৪:২:১ হবে)।






১৪৮. ক ৪০০০ টাকা দিয়ে একটি ব্যবসা শুরু করল। ৩ মাস পর খ ৫০০০ টাকা নিয়ে যোগ দিল। বছর শেষে ১৩০০০ টাকা লাভ হলে খ কত পাবে? ক. ৫০০০ খ. ৬০০০ গ. ৭৫০০ ঘ. ৮০০০০ | উত্তর: খ | ব্যাখ্যা: ক এর মূলধন=৪০০০×১২=৪৮০০০। খ এর মূলধন=৫০০০×৯=৪৫০০০। অনুপাত ৪৮:৪৫ = ১৬:১৫। মোট ৩১ অংশ = ১৩০০০ (ডেটা ম্যাচ করছে না, যদি লাভ ৬২০০ হতো তবে খ পেত ৩০০০)।






১৪৯. A ৬ মাসের জন্য ২০০০ টাকা এবং B ৮ মাসের জন্য ৩০০০ টাকা বিনিয়োগ করল। তাদের লভ্যাংশের অনুপাত কত? ক. ১:২ খ. ২:৩ গ. ৩:৪ ঘ. ৪:৫ | উত্তর: ১:২ | ব্যাখ্যা: (২০০০×৬) : (৩০০০×৮) = ১২০০০ : ২৪০০০ = ১:২।






১৫০. ক, খ ও গ যথাক্রমে ৩:৪:৫ অনুপাতে বিনিয়োগ করল। ব্যবসা পরিচালনার জন্য ক কে লাভের ১০% দেওয়া হয়। বাকি লাভ মূলধন অনুপাতে ভাগ করা হয়। মোট লাভ ১২০০ টাকা হলে ক মোট কত পাবে? ক. ৩০০ খ. ৩ ৯০ গ. ৪০০ ঘ. ৪২০ | উত্তর: খ | ব্যাখ্যা: ক পরিচালনার জন্য পায় ১২০০ এর ১০% = ১২০ টাকা। বাকি ১০৮০ টাকা ৩:৪:৫ এ ভাগ হবে। ক পাবে ১০৮০ × ৩/১২ = ২৭০ টাকা। ক এর মোট লাভ = ১২০+২৭০ = ৩৯০ টাকা।






১৫১. একটি ব্যবসায় A ও B এর বিনিয়োগের অনুপাত ৪:৫। ১০ মাস পর A তার মূলধন তুলে নিল। বছর শেষে লাভের অনুপাত কত? ক. ৪:৫ খ. ২:৩ গ. ৫:৬ ঘ. ৩:৪ | উত্তর: খ | ব্যাখ্যা: A এর ৪ টাকা ১০ মাস খাটল = ৪০। B এর ৫ টাকা ১২ মাস খাটল = ৬০। অনুপাত ৪০:৬০ = ২:৩।






১৫২. ক ও খ এর মূলধনের অনুপাত ৩:২ এবং তাদের লভ্যাংশের অনুপাত ২:১। খ এর মূলধন ৮ মাস ব্যবসায় খাটলে ক এর মূলধন কত মাস খাটবে? ক. ৬ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: ঘ | ব্যাখ্যা: (৩×x) / (২×৮) = ২/১ ⇒ ৩x / ১৬ = ২ ⇒ ৩x = ৩২ (ভগ্নাংশ আসে। ডেটা ত্রুটি)।






১৫৩. ৩ জন বন্ধু যথাক্রমে ১/২, ১/৩, ১/৪ অনুপাতে মূলধন বিনিয়োগ করল। মোট লাভ ৭৮০০ টাকা হলে ১ম বন্ধু কত পাবে? ক. ২৪০০ খ. ২৬০০ গ. ৩৬০০ ঘ. ৩৯০০ | উত্তর: গ | ব্যাখ্যা: লসাগু ১২ দিয়ে গুণ করলে অনুপাত ৬:৪:৩। মোট ১৩ অংশ = ৭৮০০। ১ অংশ = ৬০০। ১ম বন্ধু ৬ অংশ = ৩৬০০ টাকা।






১৫৪. একটি ব্যবসায় A, B ও C যথাক্রমে ২০০০০, ৩০০০০ এবং ৪০০০০ টাকা বিনিয়োগ করল। ৬ মাস পর A তার অর্ধেক মূলধন তুলে নিল। বছর শেষে ৯০০০০ টাকা লাভ হলে A কত পাবে? ক. ১৫০০০ খ. ২০০০০ গ. ২৫০০০ ঘ. ৩০০০০ | উত্তর: ক | ব্যাখ্যা: A এর (২০০০০×৬)+(১০০০০×৬) = ১৮০০০০। B এর ৩০০০০×১২ = ৩৬০০০০। C এর ৪০০০০×১২ = ৪৮০০০০। অনুপাত ১৮:৩৬:৪৮ = ৩:৬:৮। মোট ১৭ অংশ = ৯০০০০ (ডেটা ত্রুটি)।






১৫৫. ক ও খ যৌথভাবে একটি ব্যবসা শুরু করে। ক এর মূলধন খ এর ৩ গুণ এবং ক এর বিনিয়োগের সময় খ এর দ্বিগুণ। বছর শেষে খ ৪০০০ টাকা লাভ পেলে মোট লাভ কত? ক. ২৮০০০ খ. ২৪০০০ গ. ১৬০০০ ঘ. ১০০০০ | উত্তর: ক | ব্যাখ্যা: খ এর মূলধন ১, সময় ১ (লাভ ১)। ক এর মূলধন ৩, সময় ২ (লাভ ৬)। অনুপাত ৬:১। খ এর ১ অংশ = ৪০০০। মোট ৭ অংশ = ৭×৪০০০ = ২৮০০০ টাকা।






১৫৬. A, B এবং C একটি ঘাসক্ষেত্র ভাড়া করল। A ১০টি গরু ৭ মাস, B ১২টি গরু ৫ মাস এবং C ১৫টি গরু ৩ মাস চরাল। মোট ভাড়া ১৭৫ টাকা হলে C কত টাকা দেবে? ক. ৪৫ খ. ৫০ গ. ৫৫ ঘ. ৬০ | উত্তর: ক | ব্যাখ্যা: অনুপাত = (১০×৭) : (১২×৫) : (১৫×৩) = ৭০ : ৬০ : ৪৫ = ১৪ : ১২ : ৯। মোট ৩৫ অংশ = ১৭৫। ১ অংশ = ৫। C দেবে ৯×৫ = ৪৫ টাকা।






১৫৭. A ও B একটি ব্যবসায় সমান মূলধন বিনিয়োগ করল। ৬ মাস পর C তাদের সমান মূলধন নিয়ে যোগ দিল। বছর শেষে লাভের অনুপাত কত? ক. ২:২:১ খ. ১:১:১ গ. ২:১:১ ঘ. ৩:২:১ | উত্তর: ক | ব্যাখ্যা: A এর ১২ মাস, B এর ১২ মাস, C এর ৬ মাস। অনুপাত ১২:১২:৬ = ২:২:১।






১৫৮. ক, খ, গ যথাক্রমে ৫০০, ৬০০ ও ৭০০ টাকা দিয়ে ব্যবসা শুরু করল। ৩ মাস পর ক আরও ২০০ টাকা দিল। বছর শেষে লাভ ৯৪০ টাকা হলে ক কত পাবে? ক. ৩২০ খ. ৩৪০ গ. ৩৬০ ঘ. ৩৮০ | উত্তর: খ | ব্যাখ্যা: ক এর (৫০০×৩)+(৭০০×৯) = ১৫০০+৬৩০০ = ৭৮০০। খ এর ৬০০×১২ = ৭২০০। গ এর ৭০০×১২ = ৮৪০০। অনুপাত ৭৮:৭২:৮৪ = ১৩:১২:১৪। মোট ৩৯ অংশ = ৯৪০। ১ অংশ = ৯৪০/৩৯।






১৫৯. অংশীদারি কারবারে মূলধন সমান হলে লভ্যাংশ কীভাবে বন্টিত হয়? ক. সমানভাবে খ. সময়ের অনুপাতে গ. চুক্তির ভিত্তিতে ঘ. লটারিতে | উত্তর: খ | ব্যাখ্যা: মূলধন সমান হলে যার টাকা বেশি সময় খাটবে সে বেশি লাভ পাবে (সময়ের অনুপাতে)।






১৬০. অংশীদারি কারবারে সময় সমান হলে লভ্যাংশ কীভাবে বন্টিত হয়? ক. মূলধনের অনুপাতে খ. সমানভাবে গ. ইচ্ছামতো ঘ. পরিচালকের সিদ্ধান্তে | উত্তর: ক | ব্যাখ্যা: সময় সমান থাকলে লভ্যাংশ মূলধনের অনুপাতে ভাগ হয়।






১৬১. A ও B যথাক্রমে ১৬০০০ এবং ১২০০০ টাকা নিয়ে ব্যবসা শুরু করল। ৩ মাস পর A ৫০০০ টাকা তুলে নিল এবং B ৫০০০ টাকা যোগ করল। বছর শেষে লাভের অনুপাত কত? ক. ১৫:১৭ খ. ১৭:১৫ গ. ৩:২ ঘ. ৪:৩ | উত্তর: ক | ব্যাখ্যা: A: (১৬০০০×৩) + (১১০০০×৯) = ১৪৭০০০। B: (১২০০০×৩) + (১৭০০০×৯) = ১৮৯০০০। ১৪৭:১৮৯ (বিভাজ্য নয়)।






১৬২. ক এবং খ একটি ব্যবসায় যথাক্রমে ৪০,০০০ এবং ৫০,০০০ টাকা বিনিয়োগ করল। চুক্তি হলো লাভের ৫০% সমানভাবে এবং বাকি ৫০% মূলধনের অনুপাতে ভাগ হবে। লাভ ১৮,০০০ টাকা হলে ক কত পাবে? ক. ৮০০০ খ. ৮৫০০ গ. ৯০০০ ঘ. ৯৫০০ | উত্তর: খ | ব্যাখ্যা: ১৮০০০ এর অর্ধেক ৯০০০ টাকা সমানভাবে (ক ৪৫০০, খ ৪৫০০)। বাকি ৯০০০ টাকা ৪:৫ অনুপাতে ভাগ হবে। ক পাবে ৯০০০ × ৪/৯ = ৪০০০ টাকা। ক এর মোট লাভ = ৪৫০০+৪০০০ = ৮৫০০ টাকা।






১৬৩. ৩ জন অংশীদার একটি ব্যবসায় যথাক্রমে ১২۰۰, ১৫০০ এবং ১৮০০ টাকা বিনিয়োগ করে। ১ম জন ব্যবসার দেখাশোনার জন্য লাভের ১০% পায়। মোট লাভ ৯০০ টাকা হলে ১ম জন মোট কত টাকা পাবে? ক. ২৪০ খ. ৩৩০ গ. ৩৬০ ঘ. ৩৯০ | উত্তর: খ | ব্যাখ্যা: ১ম জন দেখাশোনার জন্য পায় ৯০০ এর ১০% = ৯০ টাকা। বাকি ৮১০ টাকা ১২:১৫:১৮ = ৪:৫:৬ অনুপাতে ভাগ হবে। ১ম জন পাবে ৮১০ × ৪/১৫ = ২১৬ টাকা। মোট পাবে ৯০+২১৬ = ৩০৬ টাকা (অপশনে নেই, লজিক এটি)।






১৬৪. A, B, C একটি ব্যবসা শুরু করল। A মোট মূলধনের ১/৩ অংশ দিল, B দিল C এর সমান। লাভের অনুপাত কত? ক. ২:১:১ খ. ১:১:১ গ. ১:২:২ ঘ. ৩:২:১ | উত্তর: ক | ব্যাখ্যা: A = ১/৩ অংশ। বাকি ২/৩ অংশ B ও C সমানভাবে দিল, অর্থাৎ B=১/৩ এবং C=১/৩। অনুপাত ১/৩ : ১/৩ : ১/৩ = ১:১:১ (অপশন খ)।






