পর্ব ১: সংখ্যা পদ্ধতি (Number System)
১. ক্ষুদ্রতম মৌলিক সংখ্যা কোনটি? ক. ০ খ. ১ গ. ২ ঘ. ৩ | উত্তর: গ | ব্যাখ্যা: মৌলিক সংখ্যার শর্ত হলো এর দুটি উৎপাদক (১ এবং ঐ সংখ্যা) থাকতে হবে। ১-এর উৎপাদক কেবল ১টি। তাই ক্ষুদ্রতম মৌলিক সংখ্যা ২।
১৪৬. ৩ অঙ্কের কোন বৃহত্তম সংখ্যাকে ১০, ১২ ও ১৫ দ্বারা ভাগ করলে প্রতিবার ৪ অবশিষ্ট থাকে? ক. ৯৬০ খ. ৯৬৪ গ. ৯৯৬ ঘ. ৯৯৯ | উত্তর: খ | ব্যাখ্যা: লসাগু ৬০। ৩ অঙ্কের বৃহত্তম ৯৯৯ কে ৬০ দিয়ে ভাগ করলে অবশিষ্ট ৩৯। বিভাজ্য ৯৯৯-৩৯ = ৯৬০। ৪ যোগ করলে ৯৬৪।
১৪৭. তিনটি ঘণ্টা যথাক্রমে ১০, ১২ এবং ১৫ মিনিট পরপর বাজে। তারা একত্রে বাজার কতক্ষণ পর পুনরায় একত্রে বাজবে? ক. ৩০ মিনিট খ. ৪৫ মিনিট গ. ৬০ মিনিট ঘ. ১২০ মিনিট | উত্তর: গ | ব্যাখ্যা: সময় একত্রে মেলার অঙ্ক সবসময় লসাগু করতে হয়। ১০, ১২, ১৫ এর লসাগু ৬০।
১৪৮. চারটি ঘণ্টা যথাক্রমে ৩, ৪, ৫ এবং ৬ সেকেন্ড পরপর বাজে। ১ ঘণ্টায় ঘণ্টাগুলো কতবার একত্রে বাজবে (প্রথমবার সহ)? ক. ৬০ বার খ. ৬১ বার গ. ৩০ বার ঘ. ৩১ বার | উত্তর: খ | ব্যাখ্যা: লসাগু ৬০ সেকেন্ড = ১ মিনিট। ১ ঘণ্টায় বাজবে ৬০ বার। শুরুতে একসাথে বাজার জন্য +১। মোট ৬১ বার।
১৪৯. তিনটি ট্রাফিক সিগন্যাল যথাক্রমে ৪৮, ৭২ এবং ১০৮ সেকেন্ড পরপর বদলায়। সকাল ৮ টায় একত্রে বদলালে, আবার কখন একত্রে বদলাবে? ক. ৮:০৭:১২ খ. ৮:০৭:২৪ গ. ৮:০৮:১২ ঘ. ৮:০৮:২৪ | উত্তর: ক | ব্যাখ্যা: লসাগু ৪৩২ সেকেন্ড = ৭ মিনিট ১২ সেকেন্ড। তাই ৮টা ৭ মিনিট ১২ সেকেন্ড।
১৫০. ১৫ মি. ১৭ সে.মি. দীর্ঘ এবং ৯ মি. ৪৩ সে.মি. চওড়া ঘরের মেঝেতে বিছানোর জন্য সবচেয়ে বড় মাপের বর্গাকার টাইলসের বাহুর দৈর্ঘ্য কত? ক. ৩৯ সে.মি. খ. ৪১ সে.মি. গ. ৪৩ সে.মি. ঘ. ৪৫ সে.মি. | উত্তর: খ | ব্যাখ্যা: ১৫১৭ সেমি ও ৯৪৩ সেমির গ.সা.গু ৪১ সেমি।
১৫১. ৩টি ড্রামে যথাক্রমে ২২৫, ২৮৫ এবং ৩৫৫ লিটার দুধ আছে। সবচেয়ে বড় কোন মাপের পাত্র দিয়ে দুধ পূর্ণসংখ্যক বার মাপা যাবে? ক. ৫ লিটার খ. ১০ লিটার গ. ১৫ লিটার ঘ. ২৫ লিটার | উত্তর: ক | ব্যাখ্যা: 'সবচেয়ে বড় মাপ' মানে গসাগু। ২২৫, ২৮৫, ৩৫৫ এর শেষে ৫ থাকায় গসাগু ৫।
১৫২. তিনটি লোহার পাতের দৈর্ঘ্য ৭০০ সেমি, ৩৮৫ সেমি এবং ১২৯৫ সেমি। সবচেয়ে বড় কোন মাপকাঠি দিয়ে পাতগুলো মাপা যাবে? ক. ১৫ সেমি খ. ২৫ সেমি গ. ৩৫ সেমি ঘ. ৪৫ সেমি | উত্তর: গ | ব্যাখ্যা: গসাগু। ৭০০, ৩৮৫, ১২৯৫ এর গসাগু ৩৫ সেমি।
১৫৩. একটি বাগানে সারিবদ্ধভাবে গাছ লাগাতে হবে। প্রতি সারিতে ২৪, ৩৬ বা ৪৮ টি গাছ লাগালে একটি গাছও উদ্বৃত্ত থাকে না। ন্যূনতম গাছ কত? ক. ৭২ খ. ১২০ গ. ১৪৪ ঘ. ২৮৮ | উত্তর: গ | ব্যাখ্যা: 'উদ্বৃত্ত থাকে না' এবং 'ন্যূনতম' মানে লসাগু। ২৪, ৩৬, ৪৮ এর লসাগু ১৪৪।
১৫৪. ১০, ১৫ এবং ২০ লিটার ধারণক্ষমতা বিশিষ্ট তিনটি বালতি পূর্ণ করতে ন্যূনতম কত লিটার পানির পাত্র প্রয়োজন? ক. ৩০ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: ঘ | ব্যাখ্যা: লসাগু। ১০, ১৫, ২০ এর লসাগু ৬০ লিটার।
১৫৫. একটি সৈন্যদলকে ৮, ১০ বা ১২ সারিতে সাজানো যায়। আবার বর্গাকারেও সাজানো যায়। ওই দলে ন্যূনতম সৈন্য কত? ক. ১২০ খ. ৪০০ গ. ৩৬০০ ঘ. ১৪৪০০ | উত্তর: গ | ব্যাখ্যা: লসাগু ১২০ (২×২×২×৩×৫)। একে পূর্ণবর্গ করতে ২×৩×৫ = ৩০ দিয়ে গুণ করতে হবে। ১২০×৩০ = ৩৬০০।
১৫৬. দুটি সংখ্যার গ.সা.গু ১১ এবং ল.সা.গু ৭৭০০। একটি সংখ্যা ২৭৫ হলে অপরটি কত? ক. ২৭৯ খ. ২৮৩ গ. ৩০৮ ঘ. ৩১৮ | উত্তর: গ | ব্যাখ্যা: (১১ × ৭৭০০) / ২৭৫ = ৩০৮।
১৫৭. দুটি সংখ্যার অনুপাত ৪:৫ এবং তাদের গ.সা.গু ৫ হলে সংখ্যা দুটির গুণফল কত? ক. ৪০০ খ. ৫০০ গ. ৬০০ ঘ. ১০০০ | উত্তর: খ | ব্যাখ্যা: সংখ্যা দুটি ৪×৫=২০ এবং ৫×৫=২৫। ২০ × ২৫ = ৫০০।
১৫৮. দুটি সংখ্যার অনুপাত ৭:৯ এবং তাদের ল.সা.গু ২৫২। ছোট সংখ্যাটি কত? ক. ২৮ খ. ৩৬ গ. ৪২ ঘ. ৬৩ | উত্তর: ক | ব্যাখ্যা: গসাগু = ২৫২ / (৭×৯) = ২৫২ / ৬৩ = ৪। ছোট সংখ্যা = ৭ × ৪ = ২৮।
১৫৯. দুটি সংখ্যার গ.সা.গু এবং ল.সা.গু এর যোগফল ৬৮০। ল.সা.গু গ.সা.গু এর ৮৪ গুণ। একটি সংখ্যা ৫৬ হলে অপরটি কত? ক. ৮৪ খ. ৯৬ গ. ১১২ ঘ. ১২০ | উত্তর: খ | ব্যাখ্যা: H+৮৪H=৬৮০ ⇒ ৮৫H=৬৮০ ⇒ H=৮। L=৮৪×৮=৬৭২। অপর সংখ্যা = (৮×৬৭২)/৫৬ = ৯৬।
১৬০. দুটি সংখ্যার গুণফল ২০২৮ এবং গ.সা.গু ১৩। এরকম কত জোড়া সংখ্যা হওয়া সম্ভব? ক. ১ জোড়া খ. ২ জোড়া গ. ৩ জোড়া ঘ. ৪ জোড়া | উত্তর: খ | ব্যাখ্যা: (১৩a)(১৩b) = ২০২৮ ⇒ ab = ২০২৮/১৬৯ = ১২। সহমৌলিক জোড়া: (১,১২) এবং (৩,৪)। মোট ২ জোড়া।
১৬১. দুটি সংখ্যার ল.সা.গু ১২০ এবং তাদের অনুপাত ৩:৪। সংখ্যা দুটির যোগফল কত? ক. ৭০ খ. ৮০ গ. ৯০ ঘ. ১০০ | উত্তর: ক | ব্যাখ্যা: গসাগু = ১২০/১২ = ১০। সংখ্যা দুটি ৩০, ৪০। যোগফল ৭০।
১৬২. দুটি সংখ্যার গ.সা.গু ৮। নিচের কোনটি তাদের ল.সা.গু হতে পারে না? ক. ২৪ খ. ৪৮ গ. ৫৬ ঘ. ৬০ | উত্তর: ঘ | ব্যাখ্যা: লসাগু সবসময় গসাগু দ্বারা নিঃশেষে বিভাজ্য। ৬০, ৮ দ্বারা বিভাজ্য নয়।
১৬৩. দুটি সংখ্যার ল.সা.গু ৪৮। সংখ্যা দুটির অনুপাত ২:৩ হলে তাদের পার্থক্য কত? ক. ৮ খ. ১২ গ. ১৬ ঘ. ২৪ | উত্তর: ক | ব্যাখ্যা: গসাগু = ৪৮/৬ = ৮। সংখ্যা দুটি ১৬ ও ২৪। পার্থক্য ৮।
১৬৪. তিনটি সংখ্যার অনুপাত ২:৩:৪ এবং তাদের গ.সা.গু ১২। সংখ্যা তিনটির ল.সা.গু কত? ক. ১৪৪ খ. ২৮৮ গ. ৩৬ ঘ. ৭২ | উত্তর: ক | ব্যাখ্যা: ২, ৩, ৪ এর লসাগু ১২। ১২ × ১২ (গসাগু) = ১৪৪।
১৬৫. তিনটি সংখ্যার অনুপাত ৩:৪:৫ এবং তাদের ল.সা.গু ২৪০০। তাদের গ.সা.গু কত? ক. ২০ খ. ৪০ গ. ৮০ ঘ. ১২০ | উত্তর: খ | ব্যাখ্যা: ৩, ৪, ৫ এর গুণফল ৬০। গসাগু = ২৪০০ / ৬০ = ৪০।
১৬৬. যদি দুটি সংখ্যার গ.সা.গু 'a' এবং ল.সা.গু 'b' হয় এবং a+b=c হয়, তবে কোনটি সত্য? ক. a সর্বদা b এর গুণিতক খ. b সর্বদা a এর গুণিতক গ. a ও b পরস্পর মৌলিক ঘ. c সর্বদা জোড় | উত্তর: খ | ব্যাখ্যা: লসাগু সর্বদা গসাগুর গুণিতক হয়। তাই b সর্বদা a দ্বারা বিভাজ্য।
১৬৭. দুটি তিন অঙ্কের সংখ্যার গ.সা.গু ২৯ এবং ল.সা.গু ৪১৪৭। সংখ্যা দুটির যোগফল কত? ক. ৫৮০ খ. ৬৯৬ গ. ৭২৫ ঘ. ৮১২ | উত্তর: খ | ব্যাখ্যা: ab = ৪১৪৭/২৯ = ১৪৩। ১৪৩ = ১১×১৩। সংখ্যা দুটি: ২৯×১১=৩১৯, ২৯×১৩=৩৭৭। যোগফল ৬৯৬।
১৬৮. 'x' এবং 'y' এর গ.সা.গু 'z'। তাহলে 'x/z' এবং 'y/z' এর গ.সা.গু কত? ক. z খ. ১ গ. x/y ঘ. xy/z | উত্তর: খ | ব্যাখ্যা: সংখ্যাকে গসাগু দিয়ে ভাগ করলে যে দুটি সংখ্যা পাওয়া যায় তারা পরস্পর সহমৌলিক হয়। তাই নতুন গসাগু ১।
১৬৯. দুটি সংখ্যার পার্থক্য ২৪ এবং তাদের গ.সা.গু ১২। সংখ্যা দুটি কী কী হতে পারে? ক. ৩৬, ৬০ খ. ৪৮, ৭২ গ. ৬০, ৮৪ ঘ. সবকটি | উত্তর: ঘ | ব্যাখ্যা: সব জোড়ারই পার্থক্য ২৪ এবং গসাগু ১২। তাই সবকটিই সম্ভব।
১৭০. তিনটি ক্রমিক পূর্ণসংখ্যার ল.সা.গু ১২০। সংখ্যা তিনটির যোগফল কত? ক. ১২ খ. ১৫ গ. ১৮ ঘ. ২১ | উত্তর: খ | ব্যাখ্যা: ট্রায়াল মেথড: ৪, ৫, ৬ এর লসাগু ১২০। যোগফল ৪+৫+৬ = ১৫।
১৭১. x²-y² এবং x²-2xy+y² এর গ.সা.গু কত? ক. x+y খ. x-y গ. (x-y)² ঘ. x²-y² | উত্তর: খ | ব্যাখ্যা: ১ম রাশি (x+y)(x-y)। ২য় রাশি (x-y)²। গসাগু (কমন) = x-y।
১৭২. a³+b³ এবং a²+ab-2b² এর গ.সা.গু কোনটি? (যেখানে a+b একটি উৎপাদক) ক. a+b খ. a-b গ. a²+b² ঘ. 1 | উত্তর: ক | ব্যাখ্যা: a³+b³ = (a+b)(a²-ab+b²)। a²+ab-২b² = (a+২b)(a-b)। এখানে প্রশ্ন অনুযায়ী a+b উৎপাদক হলে কমন a+b হবে।
১৭৩. দুটি সংখ্যার ল.সা.গু তাদের গ.সা.গু এর ২০ গুণ। গ.সা.গু ও ল.সা.গু এর যোগফল ২৫২০। একটি সংখ্যা ৪৮০ হলে অপরটি কত? ক. ৪০০ খ. ৬০০ গ. ৪৮০ ঘ. ৭২০ | উত্তর: খ | ব্যাখ্যা: H+২০H = ২৫২০ ⇒ ২১H=২৫২০ ⇒ H=১২০। L=২৪০০। অপর সংখ্যা = (১২০×২৪০০)/৪৮০ = ৬০০।
১৭৪. দুটি সংখ্যার ল.সা.গু ৪৯৫ এবং গ.সা.গু ৫। সংখ্যা দুটির যোগফল ১০০ হলে, তাদের পার্থক্য কত? ক. ১০ খ. ৪৫ গ. ৫৫ ঘ. ৯০ | উত্তর: ক | ব্যাখ্যা: ab = ৪৯৫/৫ = ৯৯। সহমৌলিক ৯ ও ১১। সংখ্যা দুটি ৯×৫=৪৫, ১১×৫=৫৫। এদের যোগফল ১০০। পার্থক্য ৫৫-৪৫ = ১০।
১৭৫. ১০০ এবং ২০০ এর মধ্যে কতটি সংখ্যা ৩ এবং ৪ উভয় দ্বারা বিভাজ্য? ক. ৬ খ. ৭ গ. ৮ ঘ. ৯ | উত্তর: গ | ব্যাখ্যা: ৩ ও ৪ এর লসাগু ১২। ১০০ এর পর ১২ এর প্রথম গুণিতক ১০৮, শেষটি ১৯২। পদসংখ্যা = (১৯২-১০৮)/১২ + ১ = ৮টি।
১৭৬. 'a' এবং 'b' দুটি মৌলিক সংখ্যা হলে তাদের ল.সা.গু কত? ক. ১ খ. ab গ. a+b ঘ. a/b | উত্তর: খ | ব্যাখ্যা: মৌলিক সংখ্যার লসাগু সরাসরি তাদের গুণফল (ab)।
১৭৭. কোনো ল.সা.গু-কে গ.সা.গু দ্বারা ভাগ করলে ভাগফল কী নির্দেশ করে? ক. সংখ্যা দুটির যোগফল খ. সংখ্যা দুটির অনুপাতের গুণফল গ. সংখ্যা দুটির পার্থক্য ঘ. ১ | উত্তর: খ | ব্যাখ্যা: লসাগু = গসাগু × অনুপাতের গুণফল। তাই ভাগফলটি অনুপাতের গুণফল নির্দেশ করে।
১৭৮. সবচেয়ে ছোট কোন সংখ্যাটি দিয়ে ৩৬০০ কে গুণ করলে গুণফল পূর্ণ ঘন হবে? ক. ৩০ খ. ৬০ গ. ৭৫ ঘ. ৩ | উত্তর: খ | ব্যাখ্যা: ৩৬০০ = ২⁴ × ৩² × ৫²। পূর্ণ ঘন হতে পাওয়ার ৩ বা তার গুণিতক হতে হবে। আরও দরকার ২², ৩¹, ৫¹ অর্থাৎ ৪×৩×৫ = ৬০।
১৭৯. কোনো বিদ্যালয়ের ৩টি শ্রেণিতে যথাক্রমে ৪২, ৫৬ এবং ৭০ জন ছাত্র আছে। প্রতি রুমে সমান সংখ্যক ছাত্র বসাতে হলে ন্যূনতম কতটি রুম প্রয়োজন? ক. ১০ খ. ১২ গ. ১৪ ঘ. ১৬ | উত্তর: খ | ব্যাখ্যা: গসাগু ১৪ (এক রুমে ১৪ জন)। রুম সংখ্যা = ৪২/১৪ + ৫৬/১৪ + ৭০/১৪ = ৩+৪+৫ = ১২টি।
১৮০. একটি বাক্সে কিছু মার্বেল আছে। যদি এগুলো ৫, ৬ বা ৭ জন শিশুর মধ্যে সমানভাবে ভাগ করা হয়, তবে প্রতিবার ৩টি মার্বেল অবশিষ্ট থাকে। বাক্সে ন্যূনতম কতটি মার্বেল আছে? ক. ২১০ খ. ২১৩ গ. ৪২০ ঘ. ৪২৩ | উত্তর: খ | ব্যাখ্যা: লসাগু ২১০। ২১০ + ৩ = ২১৩।
১৮১. ৩ অঙ্কের বৃহত্তম সংখ্যাটি নির্ণয় করুন যা ১২, ১৫ এবং ২০ দ্বারা নিঃশেষে বিভাজ্য। ক. ৯০০ খ. ৯৪০ গ. ৯৬০ ঘ. ৯৮০ | উত্তর: গ | ব্যাখ্যা: লসাগু ৬০। ৩ অঙ্কের বৃহত্তম ৯৯৯। ৯৯৯ ÷ ৬০ = অবশিষ্ট ৩৯। ৯৯৯ - ৩৯ = ৯৬০।
১৮২. কোন ক্ষুদ্রতম সংখ্যাকে ৫, ৬, ৭, ৮ দ্বারা ভাগ করলে ৩ অবশিষ্ট থাকে, কিন্তু ৯ দ্বারা ভাগ করলে কোনো অবশিষ্ট থাকে না? ক. ১৬৮৩ খ. ২৫২৩ গ. ৩৩৬৩ ঘ. ৩৩৬০ | উত্তর: ক | ব্যাখ্যা: লসাগু ৮৪০। সংখ্যাটি ৮৪০k + ৩ যা ৯ দ্বারা বিভাজ্য। k=২ বসালে ১৬৮০+৩ = ১৬৮৩, যা ৯ দ্বারা বিভাজ্য।
১৮৩. a, b, c এর ল.সা.গু x হলে, 3a, 3b, 3c এর ল.সা.গু কত? ক. x খ. 3x গ. 9x ঘ. 27x | উত্তর: খ | ব্যাখ্যা: লসাগুর ক্ষেত্রে সাধারণ গুণিতক সবার সাথে গুণ হয়ে যায়। তাই লসাগু 3x হবে।
১৮৪. দুটি সংখ্যার যোগফল ৩৬ এবং তাদের গ.সা.গু ৪। এ শর্ত পূরণ করে এমন কত জোড়া সংখ্যা আছে? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: গ | ব্যাখ্যা: ৪a + ৪b = ৩৬ ⇒ a+b = ৯। সহমৌলিক জোড়া: (১,৮), (২,৭), (৪,৫)। মোট ৩ জোড়া (৩,৬ সহমৌলিক নয়)।
১৮৫. ১০০০০ এর নিকটবর্তী কোন সংখ্যা ৩, ৪, ৫, ৬, ৭, ৮ দ্বারা বিভাজ্য? ক. ৯২৪০ খ. ৯৯৯৬ গ. ১০০৮০ ঘ. ১০০০০ | উত্তর: গ | ব্যাখ্যা: লসাগু ৮৪০। ১০০০০ ÷ ৮৪০ = ১১ বার গেলে ৯২৪০ (৭৬০ দূরে)। ১২ বার গেলে ১০০৮০ (৮০ দূরে)। ১০০৮০ বেশি নিকটবর্তী।
১৮৬. দুটি সংখ্যার ল.সা.গু গ.সা.গু-র ১২ গুণ। একটি সংখ্যা ১৫ এবং ল.সা.গু ও গ.সা.গু এর যোগফল ১৯৬৫। অপর সংখ্যাটি কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: ১৩H=৬৫ ⇒ H=৫। L=৬০। সংখ্যা = (৫×৬০)/১৫ = ২০।
১৮৭. একটি রাস্তায় তিনটি মোড়ে ট্রাফিক লাইট যথাক্রমে ২৫, ৩৫ এবং ৪৫ সেকেন্ড পরপর বদলায়। তারা সকাল ৯টায় একত্রে বদলালে, আবার কখন একত্রে বদলাবে? ক. ৯:২৬:১৫ খ. ৯:২৮:০০ গ. ৯:৩১:১৫ ঘ. ৯:৩৫:০০ | উত্তর: ক | ব্যাখ্যা: লসাগু ১৫৭৫ সেকেন্ড। ১৫৭৫/৬০ = ২৬ মিনিট ১৫ সেকেন্ড। উত্তর ৯:২৬:১৫।
১৮৮. কোনো সংখ্যা ৩ দ্বারা বিভাজ্য হওয়ার অর্থ হলো সংখ্যাটি নিচের কোনটির ল.সা.গু দ্বারা বিভাজ্য হবে না? ক. ২ খ. ৫ গ. ৬ ঘ. বলা অসম্ভব | উত্তর: ঘ | ব্যাখ্যা: ৩ দ্বারা বিভাজ্য মানেই অন্য কোনো নির্দিষ্ট সংখ্যার লসাগু দ্বারা বিভাজ্য হবে না, এমন কোনো গাণিতিক শর্ত নেই।
১৮৯. দুটি সংখ্যার গ.সা.গু ১৫ এবং গুণফল ৬৩০০। এমন কত জোড়া সংখ্যা সম্ভব? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: ১৫a × ১৫b = ৬৩০০ ⇒ ab = ৬৩০০/২২৫ = ২৮। সহমৌলিক জোড়া: (১,২৮) এবং (৪,৭)। ২ জোড়া।
১৯০. দুটি ক্রমিক বিজোড় সংখ্যার ল.সা.গু ২৫৫ হলে, সংখ্যা দুটি কী কী? ক. ১৩, ১৫ খ. ১৫, ১৭ গ. ১৭, ১৯ ঘ. ১৯, ২১ | উত্তর: খ | ব্যাখ্যা: ক্রমিক বিজোড় সংখ্যা সহমৌলিক। তাদের গুণফলই লসাগু। ১৫ × ১৭ = ২৫৫।
১৯১. ১০০ হতে ২০০ এর মাঝে ৩, ৫, ৭ দ্বারা বিভাজ্য সংখ্যা কতটি? ক. ০ খ. ১ গ. ২ ঘ. ৩ | উত্তর: খ | ব্যাখ্যা: লসাগু ১০৫। ১০০-২০০ এর মধ্যে কেবল ১০৫ নিজেই একবার আছে।
১৯২. দুটি সংখ্যার গ.সা.গু তাদের ল.সা.গু-এর ১/৩ অংশ। যদি গ.সা.গু ১৫ হয়, তবে সংখ্যা দুটির গুণফল কত? ক. ২২৫ খ. ৪৫০ গ. ৬৭৫ ঘ. ৯০০ | উত্তর: গ | ব্যাখ্যা: গসাগু ১৫ হলে লসাগু ৪৫। গুণফল = ১৫ × ৪৫ = ৬৭৫।
১৯৩. ১/২ এবং ৩/৪ এর মধ্যবর্তী ল.সা.গু কত? ক. ৩ খ. ৩/২ গ. ৩/৪ ঘ. ৪/৩ | উত্তর: ক | ব্যাখ্যা: ভগ্নাংশের লসাগু = লবগুলোর লসাগু (১,৩ এর ৩) / হরগুলোর গসাগু (২,৪ এর ১)। ৩/১ = ৩।
১৯৪. ৯, ১৫, এবং x এর ল.সা.গু ৪৫। x এর ন্যূনতম মান কত হতে পারে? ক. ১ খ. ৩ গ. ৫ ঘ. ৪৫ | উত্তর: গ | ব্যাখ্যা: ৯, ১৫ উভয়েই ৪৫ এর উৎপাদক। লসাগু ৪৫ হতে x এর ন্যূনতম মান ৫ হতে হবে (যাতে ৪৫ এর মধ্যে ৫ এর ফ্যাক্টর কাভার হয়)।
১৯৫. দুটি সংখ্যার অনুপাত x:y এবং ল.সা.গু z হলে, সংখ্যা দুটির গ.সা.গু কত? ক. z/xy খ. xy/z গ. xyz ঘ. z/(x+y) | উত্তর: ক | ব্যাখ্যা: সূত্র: লসাগু = গসাগু × অনুপাতের গুণফল। তাই, z = গসাগু × xy ⇒ গসাগু = z/xy।
১৯৬. ১০০ এর চেয়ে ছোট কতটি সংখ্যা ২ এবং ৩ দ্বারা বিভাজ্য? ক. ১৫ খ. ১৬ গ. ৩৩ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: ২ ও ৩ এর লসাগু ৬। ১০০/৬ = ১৬.৬৬। তাই ১৬টি সংখ্যা বিভাজ্য।
১৯৭. ৬০, ৮০ এবং ১২০ এর গ.সা.গু কত? ক. ১০ খ. ২০ গ. ৪০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: ২০ দিয়ে ৬০, ৮০, ১২০ তিনটিকে ভাগ করা যায়।
১৯৮. ২০ এর গুণনীয়ক (উৎপাদক) এবং গুণিতক এর মধ্যে প্রধান পার্থক্য কী? ক. গুণনীয়ক সসীম, গুণিতক অসীম খ. গুণনীয়ক অসীম, গুণিতক সসীম গ. উভয়ই সসীম ঘ. কোনোটিই নয় | উত্তর: ক | ব্যাখ্যা: উৎপাদক গোনা যায় (যেমন ২০ এর ৬টি), কিন্তু গুণিতক (২০, ৪০, ৬০...) অনন্ত।
১৯৯. ৯৯৯ এর পরের মৌলিক সংখ্যা কোনটি? ক. ১০০১ খ. ১০০৩ গ. ১০০৭ ঘ. ১০০৯ | উত্তর: ঘ | ব্যাখ্যা: ১০০১, ১০০৩, ১০০৭ বিভাজ্য। ১০০৯ প্রথম ৪-অঙ্কের মৌলিক সংখ্যা।
২০০. x ও y সহমৌলিক হলে, x² ও y² এর গ.সা.গু কত? ক. ১ খ. xy গ. x/y ঘ. x²y² | উত্তর: ক | ব্যাখ্যা: সহমৌলিক সংখ্যার বর্গ বা যেকোনো পাওয়ার করলেও তারা সহমৌলিকই থাকে, তাই গসাগু সর্বদা ১।
