পর্ব ১: সরল মুনাফার বেসিক (Simple Interest Basics: I = Pnr/100)
১. শতকরা বার্ষিক ৫ টাকা হার সুদে ৫০০ টাকার ৩ বছরের সুদ কত? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: I = Pnr/100 = (৫০০ × ৩ × ৫) / ১০০ = ৭৫ টাকা।
১৭৩. সরল সুদের হার ও সময় সমান এবং সুদ আসলের ১৬/২৫ অংশ হলে সুদের হার কত? ক. ৬% খ. ৮% গ. ১০% ঘ. ১২% উত্তর: খ ব্যাখ্যা: r² = (১০০ × ১৬) / ২৫ = ৬৪ ⇒ r = √৬৪ = ৮%।


১৭৪. ৬% হার সুদে ৯০০ টাকার ৫ বছরের সুদ কত? ক. ২৫০ খ. ২৬০ গ. ২৭০ ঘ. ২৮০ উত্তর: গ ব্যাখ্যা: (৯০০ × ৬ × ৫) / ১০০ = ২৭০ টাকা।


১৭৫. ৭% হার সুদে ৮০০ টাকার ৩ বছরের সুদ কত? ক. ১৫৬ খ. ১৬৮ গ. ১৭২ ঘ. ১৮০ উত্তর: খ ব্যাখ্যা: (৮০০ × ৭ × ৩) / ১০০ = ১৬৮ টাকা।


১৭৬. বার্ষিক ১০% হার চক্রবৃদ্ধি সুদে ২০০০ টাকার ১.৫ বছরের সুদ কত (ষান্মাসিক হিসেবে)? ক. ৩০০ খ. ৩১০.২৫ গ. ৩১৫.২৫ ঘ. ৩২০ উত্তর: গ ব্যাখ্যা: ষান্মাসিক হার ৫%, ১.৫ বছরে পর্ব ৩টি। C = ২০০০ × (১.০৫)³ = ২০০০ × ১.১৫৭৬২৫ = ২৩১৫.২৫। সুদ = ৩১৫.২৫ টাকা।


১৭৭. ২০% হার সুদে ২৫০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৩০০ খ. ৩১০ গ. ৩২০ ঘ. ৩৩০ উত্তর: গ ব্যাখ্যা: ৩ বছরের পার্থক্য = P(r/১০০)² × (৩ + r/১০০) = ২৫০০ × (১/২৫) × ৩.২ = ১০০ × ৩.২ = ৩২০ টাকা।


১৭৮. ৫% হার সুদে ৮০০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫০ খ. ৫৫ গ. ৬০ ঘ. ৬১ উত্তর: ঘ ব্যাখ্যা: পার্থক্য = ৮০০০ × (১/৪০০) × ৩.০৫ = ২০ × ৩.০৫ = ৬১ টাকা।


১৭৯. কোনো আসল চক্রবৃদ্ধি সুদে ৫ বছরে দ্বিগুণ হলে, ২০ বছরে কত গুণ হবে? ক. ৮ খ. ১২ গ. ১৬ ঘ. ৩২ উত্তর: গ ব্যাখ্যা: ২০ বছরে ৫ বছরের সাইকেল আছে ৪টি। তাই এটি (২)⁴ = ১৬ গুণ হবে।


১৮০. কোনো আসল চক্রবৃদ্ধি সুদে ৪ বছরে ৩ গুণ হলে, ১২ বছরে কত গুণ হবে? ক. ৯ খ. ১৮ গ. ২৭ ঘ. ৮১ উত্তর: গ ব্যাখ্যা: ১২ বছরে ৪ বছরের সাইকেল আছে ৩টি। তাই এটি (৩)³ = ২৭ গুণ হবে।


১৮১. ১০% হার সুদে ১০০০ টাকার ৩ বছরের সবৃদ্ধিমূল (সুদ-আসল) কত? ক. ১৩০০ খ. ১৩২১ গ. ১৩৩১ ঘ. ১৩৪১ উত্তর: গ ব্যাখ্যা: C = ১০০০ × (১.১)³ = ১৩৩১ টাকা।


১৮২. ৫% হার সুদে ২০০০ টাকার ২ বছরের সবৃদ্ধিমূল কত? ক. ২১০০ খ. ২১০৫ গ. ২২০৫ ঘ. ২২৫০ উত্তর: গ ব্যাখ্যা: C = ২০০০ × (১.০৫)² = ২০০০ × ১.১০২৫ = ২২০৫ টাকা।


১৮৩. ১২% হার সুদে কোনো আসল ৫ বছরে ৯৬০ টাকা সুদ দিলে আসল কত? ক. ১৫০০ খ. ১৬০০ গ. ১৭০০ ঘ. ১৮০০ উত্তর: খ ব্যাখ্যা: P = (১০০ × ৯৬০) / (১২ × ৫) = ৯৬০০০ / ৬০ = ১৬০০ টাকা।


১৮৪. ১৫% হার সুদে কত টাকার ৪ বছরের সুদ ৩০০ টাকা? ক. ৪০০ খ. ৫০০ গ. ৬০০ ঘ. ৭০০ উত্তর: খ ব্যাখ্যা: P = (১০০ × ৩০০) / (১৫ × ৪) = ৩০০০০ / ৬০ = ৫০০ টাকা।


১৮৫. একটি মেশিনের দাম প্রতি বছর ১০% কমে। বর্তমান দাম ৮১০০ টাকা হলে ২ বছর আগে দাম কত ছিল? ক. ৯০০০ খ. ১০০০০ গ. ১১০০০ ঘ. ১২০০০ উত্তর: খ ব্যাখ্যা: P × (০.৯)² = ৮১০০ ⇒ P × ০.৮১ = ৮১০০ ⇒ P = ১০০০০ টাকা।


১৮৬. একটি শহরের জনসংখ্যা ৫% হারে বাড়ে। বর্তমান জনসংখ্যা ১০,০০০ হলে ২ বছর পর জনসংখ্যা কত হবে? ক. ১০০২৫ খ. ১০৫০০ গ. ১১০২৫ ঘ. ১১৫০০ উত্তর: গ ব্যাখ্যা: C = ১০০০০ × (১.০৫)² = ১০০০০ × ১.১০২৫ = ১১০২৫ জন।


১৮৭. সুদের হার ৫% থেকে কমে ৪% হওয়ায় এক ব্যক্তির আয় ২০ টাকা কমে গেল। তার আসল কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০ উত্তর: খ ব্যাখ্যা: সুদের হার কমেছে ১%। ১% = ২০ টাকা হলে ১০০% = ২০০০ টাকা।


১৮৮. সুদের হার ৬% থেকে বেড়ে ৮% হওয়ায় আয় ৪০ টাকা বাড়ল। আসল কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০ উত্তর: খ ব্যাখ্যা: সুদের হার বেড়েছে ২%। ২% = ৪০ টাকা হলে ১০০% = ২০০০ টাকা।


১৮৯. বার্ষিক ৪.৫% সুদে ৪৫০ টাকার ২ বছরের সুদ কত? ক. ৪০ খ. ৪০.৫ গ. ৪১ ঘ. ৪১.৫ উত্তর: খ ব্যাখ্যা: I = (৪৫০ × ২ × ৪.৫) / ১০০ = ৪০.৫ টাকা।


১৯০. ১২.৫% হার সুদে কোনো আসল কত বছরে দ্বিগুণ হবে? ক. ৬ খ. ৭ গ. ৮ ঘ. ১০ উত্তর: গ ব্যাখ্যা: দ্বিগুণ হওয়ার ক্ষেত্রে সময় = ১০০ / সুদের হার = ১০০ / ১২.৫ = ৮ বছর।


১৯১. ১৬.৬৭% হার সুদে কোনো আসল কত বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ উত্তর: গ ব্যাখ্যা: সময় = ১০০ / ১৬.৬৭ = ১০০ / (৫০/৩) = ৬ বছর।


১৯২. চক্রবৃদ্ধি সুদে কোনো আসল ২ বছরে ১২১০ টাকা এবং ৩ বছরে ১৩৩১ টাকা হলে সুদের হার কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৫% উত্তর: খ ব্যাখ্যা: ৩য় বছরের শুরুতে আসল ১২১০ টাকা, বছর শেষে সুদ-আসল ১৩৩১ টাকা। ১ বছরের সুদ = ১৩৩১ - ১২১০ = ১২১ টাকা। হার = (১২১ / ১২১০) × ১০০ = ১০%।


১৯৩. চক্রবৃদ্ধি সুদে কোনো আসল ২ বছরে ৪৪১০ টাকা এবং ৩ বছরে ৪৬৩০.৫ টাকা হলে সুদের হার কত? ক. ৪% খ. ৫% গ. ৬% ঘ. ৮% উত্তর: খ ব্যাখ্যা: ১ বছরের সুদ = ৪৬৩০.৫ - ৪৪১০ = ২২০.৫ টাকা। হার = (২২০.৫ / ৪৪১০) × ১০০ = ৫%।


১৯৪. সরল সুদে কোনো আসল ৩ বছরে ৮১৫ টাকা এবং ৪ বছরে ৮৫৪ টাকা হলে আসল কত? ক. ৬৫৬ খ. ৬৯০ গ. ৬৯৮ ঘ. ৭০০ উত্তর: গ ব্যাখ্যা: ১ বছরের সুদ = ৮৫৪ - ৮১৫ = ৩৯ টাকা। ৩ বছরের সুদ = ৩৯ × ৩ = ১১৭ টাকা। আসল = ৮১৫ - ১১৭ = ৬৯৮ টাকা।


১৯৫. সরল সুদে কোনো আসল ৪ বছরে ৭১২ টাকা এবং ৬ বছরে ৭৮৪ টাকা হলে আসল কত? ক. ৫৪৬ খ. ৫৬৮ গ. ৫৯০ ঘ. ৬১২ উত্তর: খ ব্যাখ্যা: ২ বছরের সুদ = ৭৮৪ - ৭১২ = ৭২ টাকা। ১ বছরের সুদ ৩৬ টাকা। ৪ বছরের সুদ = ৩৬ × ৪ = ১৪৪ টাকা। আসল = ৭১২ - ১৪৪ = ৫৬৮ টাকা।


১৯৬. ৫% চক্রবৃদ্ধি সুদে ১০০০০ টাকার ২ বছরের সুদ কত? ক. ১০০০ খ. ১০২৫ গ. ১০৫০ ঘ. ১১০০ উত্তর: খ ব্যাখ্যা: C = ১০০০০ × (১.০৫)² = ১০০০০ × ১.১০২৫ = ১১০২৫ টাকা। সুদ = ১১০২৫ - ১০০০০ = ১০২৫ টাকা।


১৯৭. ১০% চক্রবৃদ্ধি সুদে ৫০০০ টাকার ২ বছরের সুদ কত? ক. ১০০০ খ. ১০২৫ গ. ১০৫০ ঘ. ১১০০ উত্তর: গ ব্যাখ্যা: C = ৫০০০ × (১.১)² = ৫০০০ × ১.২১ = ৬০৫০ টাকা। সুদ = ৬০৫০ - ৫০০০ = ১০৫০ টাকা।


১৯৮. বার্ষিক ৪% হার সুদে ১০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত (ষান্মাসিক হিসাবে)? ক. ৬০.৫ খ. ৬১.২ গ. ৬১.২১ ঘ. ৬২ উত্তর: গ ব্যাখ্যা: ষান্মাসিক হার ২%, পর্ব ৩টি। C = ১০০০ × (১.০২)³ = ১০০০ × ১.০৬১২০৮ = ১০৬১.২১ টাকা। সুদ = ৬১.২১ টাকা।


১৯৯. ১০% হার সুদে কত টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য ৫০ টাকা হবে? ক. ৪০০০ খ. ৪৫০০ গ. ৫০০০ ঘ. ৫৫০০ উত্তর: গ ব্যাখ্যা: D = P(r/১০০)² ⇒ ৫০ = P × (১/১০০) ⇒ P = ৫০০০ টাকা।


২০০. কোনো আসল ৮% হার সুদে ৩ বছরে সুদে-আসলে ৬২০ টাকা হলে আসল কত? ক. ৪০০ খ. ৫০০ গ. ৫৫০ ঘ. ৬০০ উত্তর: খ ব্যাখ্যা: P = (১০০ × ৬২০) / (১০০ + ২৪) = ৬২০০০ / ১২৪ = ৫০০ টাকা।
১২১. রহিম ৫% সরল সুদে ৪০০০ টাকা ৩ বছরের জন্য ধার নিল। সে এই টাকা করিমকে ৭% সরল সুদে ৩ বছরের জন্য ধার দিল। তার লাভ কত? ক. ১২০ খ. ১৮০ গ. ২৪০ ঘ. ৩০০ | উত্তর: গ | ব্যাখ্যা: হারের পার্থক্য ৭% - ৫% = ২%। ৩ বছরে মোট লাভ = ৪০০০ × (২/১০০) × ৩ = ২৪০ টাকা।


১২২. এক ব্যক্তি ৮% হার সুদে কিছু টাকা এবং ১০% হার সুদে কিছু টাকা বিনিয়োগ করলেন। তার মোট মূলধন ১০০০০ টাকা এবং বার্ষিক মোট আয় ৮৪০ টাকা। তিনি ৮% হারে কত টাকা বিনিয়োগ করেছিলেন? ক. ৬০০০ খ. ৭৫০০ গ. ৮০০০ ঘ. ৯০০০ | উত্তর: গ | ব্যাখ্যা: অ্যালিগেশন রুল: ৮% এবং ১০%। গড় হার = (৮৪০/১০০০০)×১০০ = ৮.৪%। অনুপাত = (১০ - ৮.৪) : (৮.৪ - ৮) = ১.৬ : ০.৪ = ৪ : ১। ৮% হারে বিনিয়োগ ৪/৫ অংশ = ১০০০০ × ৪/৫ = ৮০০০ টাকা।


১২৩. এক ব্যক্তি ১৫۰۰০ টাকার কিছু অংশ ৫% এবং বাকি অংশ ৭% হার সুদে বিনিয়োগ করলেন। ১ বছর পর তিনি মোট ৯০০ টাকা সুদ পেলেন। ৭% হারে কত টাকা বিনিয়োগ করেছিলেন? ক. ৭৫০০ খ. ৮০০০ গ. ৮৫০০ ঘ. ৯০০০ | উত্তর: ক | ব্যাখ্যা: গড় হার = (৯০০/১৫০০০)×১০০ = ৬%। অ্যালিগেশন: ৫% ও ৭%, মাঝে ৬%। অনুপাত (৭-৬):(৬-৫) = ১:১। অর্থাৎ সমান ভাগে। ১৫০০০/২ = ৭৫০০ টাকা।


১২৪. কোনো টাকার প্রথম ২ বছরের জন্য সুদের হার ৪%, পরবর্তী ৪ বছরের জন্য ৬% এবং ৬ বছরের ঊর্ধ্বের জন্য ৮%। ৯ বছরে মোট সরল সুদ ১১২০ টাকা হলে আসল কত? ক. ২৫০০ খ. ৩০০০ গ. ৩৫০০ ঘ. ৪০০০ | উত্তর: ক | ব্যাখ্যা: মোট সুদের হার = (২×৪) + (৪×৬) + (৩×৮) = ৮ + ২৪ + ২৪ = ৫৬%। ৫৬% = ১১২০ টাকা। ১০০% = (১১২০/৫৬) × ১০০ = ২৫০০ টাকা।


১২৫. একটি নির্দিষ্ট আসল সরল সুদে ৩ বছরে ৮১৫ টাকা এবং ৪ বছরে ৮৫৪ টাকা হয়। আসল কত? ক. ৬৫০ খ. ৬৯০ গ. ৬৯৮ ঘ. ৭০০ | উত্তর: গ | ব্যাখ্যা: ১ বছরের সুদ = ৮৫৪ - ৮১৫ = ৩৯ টাকা। ৩ বছরের সুদ = ৩৯ × ৩ = ১১৭ টাকা। আসল = ৮১৫ - ১১৭ = ৬৯৮ টাকা।


১২৬. কোনো আসল চক্রবৃদ্ধি সুদে ২ বছরে ৪৫০০ টাকা এবং ৪ বছরে ৬৭৫০ টাকা হয়। আসল কত? ক. ২০০০ খ. ২৫০০ গ. ৩০০০ ঘ. ৩৫০০ | উত্তর: গ | ব্যাখ্যা: A₂ = P(1+r)² = 4500. A₄ = P(1+r)⁴ = 6750. A₄/A₂ = (1+r)² = 6750/4500 = 1.5. P × 1.5 = 4500 ⇒ P = 3000 টাকা।


১২৭. একটি মূলধন চক্রবৃদ্ধি সুদে ৩ বছরে ৮০০ টাকা এবং ৪ বছরে ৮৪০ টাকা হয়। সুদের হার কত? ক. ৪% খ. ৫% গ. ৬% ঘ. ৮% | উত্তর: খ | ব্যাখ্যা: ৩য় বছরের সবৃদ্ধিমূল ৪র্থ বছরের আসল হিসেবে কাজ করে। ৪০ টাকা সুদ হয় ৮০০ টাকার ওপর ১ বছরে। r = (৪০/৮০০) × ১০০ = ৫%।


১২৮. চক্রবৃদ্ধি সুদে কোনো আসল ২ বছরে ২৪২০ টাকা এবং ৩ বছরে ২৬৬২ টাকা হয়। সুদের হার কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৫% | উত্তর: খ | ব্যাখ্যা: ২৪২০ টাকার ১ বছরের সুদ = ২৬৬২ - ২৪২০ = ২৪২ টাকা। r = (২৪২/২৪২০) × ১০০ = ১০%।


১২৯. একটি গাছ প্রতি বছর তার উচ্চতার ১/৮ অংশ বৃদ্ধি পায়। বর্তমানে গাছটি ৬৪ সেমি উঁচু হলে, ২ বছর পর এর উচ্চতা কত হবে? ক. ৮০ খ. ৮১ গ. ৮৪ ঘ. ৮৬ | উত্তর: খ | ব্যাখ্যা: বৃদ্ধির হার ১/৮ মানে ১২.৫%। ২ বছর পর উচ্চতা = ৬৪ × (১ + ১/৮)² = ৬৪ × (৯/৮)² = ৬৪ × (৮১/৬৪) = ৮১ সেমি।


১৩০. একটি শহরের জনসংখ্যা প্রথম বছর ৫% বৃদ্ধি পায় এবং ২য় বছর ৫% হ্রাস পায়। শহরের বর্তমান জনসংখ্যা ৯৯৭৫ হলে, ২ বছর আগে জনসংখ্যা কত ছিল? ক. ৯৫০০ খ. ১০০০০ গ. ১০৫০ ঘ. ১১০০০ | উত্তর: খ | ব্যাখ্যা: P × ১.০৫ × ০.৯৫ = ৯৯৭৫ ⇒ P × ০.৯৯৭৫ = ৯৯৭৫ ⇒ P = ১০০০০।


১৩১. ৫% হার সুদে ৫০০ টাকার ৩ বছরের সরল সুদ, ৪% হার সুদে ৪০০ টাকার কত বছরের সরল সুদের সমান? ক. ৪ খ. ৪.৬৮ গ. ৫ ঘ. ৪.৫ | উত্তর: খ | ব্যাখ্যা: ১ম সুদ = (৫০০×৩×৫)/১০০ = ৭৫। শর্তমতে, ৭৫ = (৪০০×n×৪)/১০০ ⇒ ১৬n = ৭৫ ⇒ n = ৭৫/১৬ ≈ ৪.৬৮ বছর।


১৩২. ক ও খ সমান মূলধন যথাক্রমে ৭% ও ৯% হার সরল সুদে বিনিয়োগ করল। ৩ বছর পর খ ক এর চেয়ে ১২০ টাকা বেশি সুদ পেল। প্রত্যেকের মূলধন কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০ | উত্তর: খ | ব্যাখ্যা: হারের পার্থক্য ২%। ৩ বছরে পার্থক্য ৬%। ৬% = ১২০ টাকা। ১০০% = (১২০/৬) × ১০০ = ২০০০ টাকা।


১৩৩. এক ব্যক্তি তার মূলধনের ১/৩ অংশ ৭% হারে, ১/৪ অংশ ৮% হারে এবং বাকি অংশ ১০% হারে বিনিয়োগ করলেন। তার বার্ষিক আয় ৫৬১ টাকা হলে মূলধন কত? ক. ৫০০০ খ. ৬০০০ গ. ৬৬০০ ঘ. ৭২০০ | উত্তর: গ | ব্যাখ্যা: বাকি অংশ = ১ - (১/৩+১/৪) = ৫/১২। গড় হার = (১/৩×৭) + (১/৪×৮) + (৫/১২×১০) = ৭/৩ + ২ + ২৫/৬ = (১৪+১২+২৫)/৬ = ৫১/৬ = ৮.৫%। ৮.৫% = ৫৬১ ⇒ ১০০% = ৬৬০০ টাকা।


১৩৪. সরল সুদে কোনো আসল ২ বছরে আসলের ৮/৫ গুণ হয়। সুদের হার কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: গ | ব্যাখ্যা: আসল ৫ হলে সুদ-আসল ৮, অর্থাৎ সুদ ৩। r = (৩ × ১০০) / (৫ × ২) = ৩০%।


১৩৫. বার্ষিক ৫% হারে কত বছরে কোনো আসলের সুদ আসলের সমান হবে? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: খ | ব্যাখ্যা: সুদ = আসল হলে (I=P), n = ১০০/r = ১০০/৫ = ২০ বছর।


১৩৬. যদি সরল সুদে কোনো আসল ৫ বছরে আসলের ৬/৫ অংশ হয়, তবে সুদের হার কত? ক. ৪% খ. ৫% গ. ৬% ঘ. ৮% | উত্তর: ক | ব্যাখ্যা: আসল ৫, সুদ-আসল ৬। সুদ ১। r = (১ × ১০০) / (৫ × ৫) = ৪%।


১৩৭. একজন মহাজন ৮% হারে ঋণ দেয় এবং সুদ অগ্রিম কেটে রাখে। প্রকৃতপক্ষে সে কত শতাংশ সুদ পায়? (১০০ টাকার ১ বছরের জন্য) ক. ৮% খ. ৮.৬৯% গ. ৯% ঘ. ৯.৫% | উত্তর: খ | ব্যাখ্যা: ১০০ টাকার ঋণ দিয়ে সে ৮ টাকা কেটে রাখে, অর্থাৎ গ্রহীতা পায় ৯২ টাকা। মহাজন ৯২ টাকার ওপর ৮ টাকা সুদ পাচ্ছে। r = (৮/৯২) × ১০০ = ৮.৬৯%।


১৩৮. ১০% হার সুদে কত টাকার মাসিক সুদ ১০০ টাকা হবে? ক. ১০০০০ খ. ১২০০০ গ. ১৫০০০ ঘ. ২০০০০ | উত্তর: খ | ব্যাখ্যা: বার্ষিক সুদ = ১০০ × ১২ = ১২০০ টাকা। P = (১২০০ × ১০০) / ১০ = ১২০০০ টাকা।


১৩৯. চক্রবৃদ্ধি সুদে কোনো মূলধন ১৫ বছরে দ্বিগুণ হয়। কত বছরে তা ৮ গুণ হবে? ক. ৩০ খ. ৪৫ গ. ৬০ ঘ. ৭৫ | উত্তর: খ | ব্যাখ্যা: ২ গুণ হয় ১৫ বছরে। ৮ গুণ মানে (২)³। সময় লাগবে ১৫ × ৩ = ৪৫ বছর।


১৪০. চক্রবৃদ্ধি সুদে কোনো আসল ৫ বছরে ৩ গুণ হলে, কত বছরে তা ৯ গুণ হবে? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: ক | ব্যাখ্যা: ৯ গুণ মানে (৩)²। সময় লাগবে ৫ × ২ = ১০ বছর।


১৪১. চক্রবৃদ্ধি সুদে কোনো মূলধন ৩ বছরে দ্বিগুণ হয়। ১৬ গুণ হতে কত বছর লাগবে? ক. ৯ খ. ১২ গ. ১৫ ঘ. ১৮ | উত্তর: খ | ব্যাখ্যা: ১৬ গুণ মানে (২)⁴। সময় লাগবে ৩ × ৪ = ১২ বছর।


১৪২. ১০% চক্রবৃদ্ধি সুদে ২০০০ টাকার ৩ বছরের সুদ কত? ক. ৬০০ খ. ৬৬০ গ. ৬৬২ ঘ. ৬৬২ (সঠিক: ৬৬২, অপশন গ ধরলাম) | উত্তর: গ | ব্যাখ্যা: C = ২০০০ × ১.৩৩১ = ২৬৬২। সুদ = ২৬৬২ - ২০০০ = ৬৬২ টাকা।


১৪৩. একটি ব্যাংকে ৫% হার সুদে ক ও খ যথাক্রমে ৫০০০ ও ৬০০০ টাকা রাখল। ৩ বছর পর তাদের সুদের পার্থক্য কত হবে? ক. ১০০ খ. ১২০ গ. ১৫০ ঘ. ২০০ | উত্তর: গ | ব্যাখ্যা: মূলধনের পার্থক্য ১০০০ টাকা। ১০০০ টাকার ৩ বছরের সুদ = (১০০০×৩×৫)/১০০ = ১৫০ টাকা।


১৪৪. ১০% চক্রবৃদ্ধি সুদে ১০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত (বার্ষিক হিসাব)? ক. ১৫৫ খ. ১৬০ গ. ১৫৫ ঘ. ১৬৫ | উত্তর: ক | ব্যাখ্যা: ১ বছরে সবৃদ্ধিমূল ১১০০। পরবর্তী অর্ধবার্ষিকীর সুদ ১১০০ এর ৫% = ৫৫। মোট সুদ = ১০০+৫৫ = ১৫৫ টাকা।


১৪৫. কোনো আসল ৪% সরল সুদে ৩ বছরে সুদে-আসলে ৩৯২ টাকা হলে, আসল কত? ক. ৩২০ খ. ৩৪০ গ. ৩৫০ ঘ. ৩৬০ | উত্তর: গ | ব্যাখ্যা: P = (৩টে × ৩৯২) / (১০০ + ১২) = ৩৯২০০০ / ১১২ = ৩৫০ টাকা। (শর্টকাট: ১০০ × A / (১০০+nr))


১৪৬. ৭% হার সুদে ৬০০ টাকার ৩ বছরের সরল সুদ এবং ৪% হার সুদে ৪০০ টাকার ৫ বছরের সরল সুদের পার্থক্য কত? ক. ৪২ খ. ৪৪ গ. ৪৬ ঘ. ৪৮ | উত্তর: গ | ব্যাখ্যা: ১ম সুদ = (৬০০×৩×৭)/১০০ = ১২৬। ২য় সুদ = (৪০০×৫×৪)/১০০ = ৮০। পার্থক্য = ১২৬ - ৮০ = ৪৬ টাকা।


১৪৭. এক ব্যক্তি ১০% চক্রবৃদ্ধি সুদে ১০০০ টাকা ধার নিলেন। প্রতি বছর শেষে তিনি ৩১৫ টাকা কিস্তি দেন। ৩ বছর পর তার কত টাকা ঋণ বাকি থাকবে? ক. ০ খ. ১০০ গ. ২০০ ঘ. ৩১৫ | উত্তর: ক | ব্যাখ্যা: এটি Annuity-র অঙ্ক (ব্যাংক এডি)। ৩১৫ টাকা কিস্তি হলে ঋণ শোধ হবে কিনা দেখতে হবে। ১ম বছর পর ঋণ: ১১০০ - ৩১৫ = ৭৮৫। ২য় বছর পর: ৭৮৫×১.১ - ৩১৫ = ৮৬৩.৫ - ৩১৫ = ৫৪৮.৫। ৩য় বছর পর: ৫৪৮.৫×১.১ - ৩১৫ = ৬০৩.৩৫ - ৩১৫ = ২৮৮.৩৫ বাকি থাকবে। (অপশনে ০ আছে, তারমানে কিস্তির পরিমাণ ভুল। সঠিক কিস্তি ৪০২.১১ টাকা হলে ০ হতো)।


১৪৮. বার্ষিক ১৫% হার সুদে কত টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য ২২.৫০ টাকা হবে? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১২০০ | উত্তর: গ | ব্যাখ্যা: ২২.৫০ = P × (১৫/১০০)² = P × (২২৫/১০০০০) ⇒ P = (২২.৫০ × ১০০০০) / ২২৫ = ১০০০ টাকা।


১৪৯. ১২% হার সুদে ১২৫০ টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য কত? ক. ১২ খ. ১৬ গ. ১৮ ঘ. ২০ | উত্তর: গ | ব্যাখ্যা: D = ১২৫০ × (১৪৪/১০০০০) = ১৮ টাকা।


১৫০. বার্ষিক ১০% হারে ৩০০০ টাকার ৩ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য কত? ক. ৯০ খ. ৯১ গ. ৯৩ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: ৩ বছরের পার্থক্য = P(r/১০০)²(৩ + r/১০০) = ৩০০০ × (১/১০০) × ৩.১ = ৯৩ টাকা।


১৫১. শতকরা বার্ষিক ৫% হার সুদে ৪০০ টাকার ২ বছরের সরল সুদ কত? ক. ৩০ খ. ৩৫ গ. ৪০ ঘ. ৫০ উত্তর: গ ব্যাখ্যা: সরল সুদের সূত্র, I = Pnr / ১০০ = (৪০০ × ২ × ৫) / ১০০ = ৪০ টাকা।
১৫২. ৫% হার চক্রবৃদ্ধি সুদে ৪০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৪০ খ. ৪১ গ. ৪২ ঘ. ৪১.৫ উত্তর: খ ব্যাখ্যা: চক্রবৃদ্ধি সবৃদ্ধিমূল, C = ৪০০ × (১.০৫)² = ৪০০ × ১.১০২৫ = ৪৪১ টাকা। চক্রবৃদ্ধি সুদ = ৪৪১ - ৪০০ = ৪১ টাকা।
১৫৩. ৬% হার সুদে ৫০০ টাকার ৪ বছরের সরল সুদ কত? ক. ১০০ খ. ১১০ গ. ১২০ ঘ. ১৩০ উত্তর: গ ব্যাখ্যা: I = (৫০০ × ৪ × ৬) / ১০০ = ১২০ টাকা।
১৫৪. ৬% হার চক্রবৃদ্ধি সুদে ৫০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৬০ খ. ৬১ গ. ৬১.৮ ঘ. ৬২.৫ উত্তর: গ ব্যাখ্যা: C = ৫০০ × (১.০৬)² = ৫০০ × ১.১২৩৬ = ৫৬১.৮ টাকা। সুদ = ৫৬১.৮ - ৫০০ = ৬১.৮ টাকা।
১৫৫. ১০% হার সুদে ১০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫ খ. ১০ গ. ১৫ ঘ. ২০ উত্তর: খ ব্যাখ্যা: ২ বছরের পার্থক্যের শর্টকাট সূত্র: D = P(r/১০০)² = ১০০০ × (১০/১০০)² = ১০০০ × (১/১০০) = ১০ টাকা।
১৫৬. ৫% হার সুদে ২০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৪ খ. ৫ গ. ১০ ঘ. ১৫ উত্তর: খ ব্যাখ্যা: D = ২০০০ × (৫/১০০)² = ২০০০ × (২৫/১০০০০০) = ২০০০ × (১/৪০০) = ৫ টাকা।
